Article,Title,Description,PublishedAt,URL,Content
10,Xpedeon Raises Series A Funding from Norwest Venture Partners,"Xpedeon, a vertical cloud-based software platform (SaaS) for the Engineering and Construction industry announced that it has closed a funding round from...",2022-12-20T08:37:00Z,https://finance.yahoo.com/news/xpedeon-raises-series-funding-norwest-083700549.html,Xpedeon Raises Series A Funding from Norwest Venture Partners MUMBAI India Dec. 20 2022 PRNewswire Xpedeon a vertical cloudbased software platform SaaS for the Engineering and Construction industry announced that it has closed a funding round from Norwest Venture Partners. The funding will accelerate Xpedeons future growth and solidify the companys position as a leading unified construction software company. The company has generated significant traction across the UK Middle East and India and plans to expand to North America Europe and Asiapacific with the new funding round. Part of the investment will also be utilized to further enhance and integrate Building Information Modelling BIM and AIML within its core technology stack. Xpedeon is a purposebuilt highly mature platform for Engineering and Construction companies and caters to General Contractors Specialist Contractors Housebuilders Real Estate Developers and a wide range of Engineertoorder use cases. Xpedeon enables organizations to achieve complete digital transformation within their business with a comprehensive core application suite mobile apps for project sitebased users and digital supply chain portals to trade electronically with vendors and subcontractors. The global market for construction software is expected to reach 23 Billion by 2031. Our hard work and dedication to this industry over the last decade have enabled us to build a construction software product portfolio that strongly positions us to capture a significant share. Through the Xpedeon SaaS platform we can deliver our solutions to businesses of any size anywhere. We are delighted that Norwest Venture Partners has bought into our vision and chosen to be a part of this very exciting journey as it unfolds said Janak Vakharia Chief Executive Officer. The construction sector has historically seen low digital adoption with most companies either relying on manual processes or point solutions leading to low overall productivity. Xpedeon provides a fully integrated constructionspecific SaaS platform that serves Fortune 500 companies and has developed a proprietary and robust tech stack which can be scaled globally. Janak and Seema have built a bootstrapped profitable business and we are delighted to partner with them in their growth journey as they digitally transform construction businesses across the world said Niren Shah Managing Director and the Head of Norwest India. About Xpedeon Xpedeon headquartered in Mumbai with operations across the UK Middle East and India is an Enterprise SaaS provider for the Engineering and Construction industry. The company provides a unified vertical integrated SaaS platform encompassing finance construction management HR Payroll among other modules. Over the years Xpedeon has worked with marquee clients and has been instrumental in effecting fullscale digital transformations for its customers. For more information about us visit httpswww. xpedeon. com About Norwest Venture Partners Norwest Venture Partners is a global multistage investment firm that manages approximately 12. 5 billion in assets and has funded more than 650 companies in the last six decades. Norwest Venture Partners is focused on early to midstage venture capital and growth equity investments across a wide range of sectors including SaaS Fintech Insurance Consumertech B2B Healthcare Logistics among other sectors. Some of the prominent investments include OfBusiness Swiggy Amagi Xpressbees Gong Harness DemandBase Vast Data and Dremio. Norwest has offices in Palo Alto San Francisco India and Israel. For more information visit nvp. com or twitter. comNorwestVP. Logo httpsmma. prnewswire. commedia1971998XpedeonLogo. jpg View original content to download multimediahttpswww. prnewswire. co. uknewsreleasesxpedeonraisesseriesafundingfromnorwestventurepartners301706981. html
11,"Swiggy Delivered 3.5 Lakh Biryanis On New Year's Eve, This Variety Topped","Food delivery app Swiggy delivered 3.50 lakh biryani orders on Saturday and by 10.25 PM the app dispatched over 61,000 pizzas across the country, according to company sources. Swiggy also said as per a poll it conducted on Twitter, 75.4 per cent per cent orde…",2023-01-02T11:42:05Z,https://biztoc.com/x/39f89701fbb73e9a,Swiggy Delivered 3. 5 Lakh Biryanis On New Years Eve This Variety Toppedndtv. comindianewsswiggydelivers350lakhbiryanisover61000pizzasonnewyearsevereport3654457 Food delivery app Swiggy delivered 3. 50 lakh biryani orders on Saturday and by 10. 25 PM the app dispatched over 61000 pizzas across the country according to company sources. Swiggy also said as per a poll it conducted on Twitter 75. 4 per cent per cent orders came for Hyderabadi Biryani followed by Lucknowi14. 2 per cent and Kolkata10. 4 per cent. With 3. 50 lakh orders
12,"Primary market to remain busy next week with 2 IPOs, 2 listings","Despite high volatility in the secondary market in 2022, it was a good year for the primary markets, which saw 40 IPOs worth Rs 60,000 crore achieving successful listing.",2022-12-24T10:28:44Z,https://www.moneycontrol.com/news/business/ipo/primary-market-to-remain-busy-next-week-with-2-ipos-2-listings-9758251.html,The primary market is set to remain busy in the last week of the current calendar year with two public issues opening for subscription along with two listings. The public issue of Radiant Cash Management Services will remain open in the coming week too till December 27. The offer was launched on December 23. The retail cash management services provider aims to mobilise Rs 388 crore via a public issue of 3. 91 crore equity shares at the upper end of the price band of Rs 9499 per share. The IPO comprises a fresh issuance of shares worth Rs 60 crore and an offerforsale OFS of Rs 328 crore by the promoter and investor. The offer has been subscribed 4 percent till now with the retail portion being booked 6 percent and qualified institutional buyers QIBs 5 percent. Sah Polymers will be the last initial public offering IPO for the current calendar year opening on December 30 and closing on January 4. The price band will be declared by the bulk packaging solutions provider on the coming Monday. Sah Polymers IPO consisting of 1. 02 crore shares is entirely a fresh issue. The company has reserved 75 percent of the offer for QIBs 15 percent for high networth individuals HNIs and the remaining 10 percent for retail investors. Click Here To Read All IPORelated News The company plans to make use of the proceeds of the fresh issue to set up a new manufacturing facility for flexible intermediate bulk containers FIBC repaying debt working capital requirements and general corporate purposes. Listings Technologydriven financial services platform KFin Technologies will make its debut on on the markets on December 29 as per its schedule after closing the Rs 1500crore public offer on December 21 with 2. 59 times subscription. The company will finalise its share allotment on December 26 followed by refunds to unsuccessful investors on December 27 and transfer of shares to eligible investors on December 28. Electronics manufacturing services provider Elin Electronics will also list shares next week on December 30. The Rs 475crore public offer closed with 3. 09 times subscription on December 22. The IPO share allotment by Elin will take place on December 27. The company will initiate refunds to unsuccessful participants by December 28 while shares will be credited to eligible investors by December 29. The year 2022 has been great for the primary market as investors saw more than Rs 60000 crore worth of 40 IPOs being successfully closed despite huge volatility in the secondary markets. But these numbers are lower compared to 2021 when a total 65 public issues were launched raising Rs 1. 31 lakh crore a record fundraising in a single year. Going ahead around 50 companies have received SEBI observations for their IPOs which could see the light of day in calendar year 2023. These companies include Yatra Online Fab India Wellness Forever Signature Global Balaji Speciality Chemicals Utkarsha Small Finance Bank Pizza Wires Droom Technology Navi Technologies PKH Ventures Bharat EIH Macleods Pharma Aadhar Housing Finance TVS Supply Chain Solutions Allied Blenders and Distillers Divgi Torqtransfer Systems and IKIO Lighting among others. Also read IPOs to watch out for in 2023 Swiggy Fabindia OYO may check in to Dalal Street
13,PE/VC funding tanked 30% in 2022; here#39;s how Indian startups fared this year,"The average deal size of late-stage transactions (investment into companies that are over 10 years old, or Series G or later rounds of institutional investments) fell 39 percent to $90 million in 2022 from $148 million last year.",2022-12-31T05:35:17Z,https://www.moneycontrol.com/news/business/startup/pevc-funding-tanked-30-in-2022-heres-how-indian-startups-fared-this-year-9790201.html,The funds coming into Indian startups through the private equity PE and venture capital VC route slowed a little over 32 percent by value in 2022 as the ecosystem witnessed a prolonged effect of the funding winter. PEVC funds made 1130 bets on startups worth 23. 95 billion in 2022 while last year thanks to funds pouring into the ecosystem during 2021s funding frenzy private market investors had made 1215 bets worth 35. 46 billion the data showed. After the initial few months of 2022 with the pandemic receding and inflation rising central banks had been rolling back excess liquidity from the banking system and raising rates to tame inflation resulting in money becoming expensive. Investors both private and public market have thus cut back on their investments this year. According to the data shared by Venture Intelligence December recorded the lowest funding to startups in the last two years. Indian startups raised 799 million in 54 deals this month a drop of over 30 percent month on month from 1149 million in 69 deals recorded last month. Deal sizes Moneycontrol had reported earlier how the funding winter has also led to investors making smallersized bets especially at latestage deals. According to updated data by Venture Intelligence the average deal size of latestage transactions investment into companies that are over 10 years old or Series G or later rounds of institutional investments fell 39 percent to 90 million in 2022 from 148 million last year. Total investments in latestage deals also almost halved to 6584 million in 2022 from 12297 million last year. However earlyandgrowthstage deal sizes have gone up in 2022 versus 2021. The average cheque sizes of growth stage deals Series C and Series D have gone up to 7. 9 million this year from 6. 9 million last year. Earlystage deal sizes meanwhile have gone up to 4 million on average in 2022 from 3. 4 million in 2021. Top deals in 2022 Among startups in 2022 VerSe Innovation which runs the news aggregator platform DailyHunt raised 805 million from Luxor Capital Ontario Teachers Pension Plan Sofina Baillie Gifford CPPIB Canada Pension Plan Investment Board. Following it the next big deal was worth 700 million when Baron Capital and Prosus Ventures led a round in Swiggy. In 2021 Flipkart had raised 3. 6 billion from a clutch of investors including Antara Capital Tencent Qatar Investment Authority CPPIB SoftBank Corp Franklin Templeton PE Tiger Global and GIC among others in what was 2021s largest PEVC deal. Most active VC investors Sequoia Capital has retained its position as the mostactive investor by the number of deals in 2022. However this year Sequoia Capital has made 73 deals versus 110 in 2021 a fall of about 34 percent yearonyear. Interestingly Better Capital boosted deals this year making 57 investments compared to a low three last year. Other than Sequoia and Better Accel India Tiger Global Blume Ventures and Info Edge among others were the most aggressive VC firms in India. Also Read Tiger Global Series A participation up 80 on year as startups face funding winter
14,A Beginner’s Guide to Gig Workers’ global campaign against Unfair Deactivation practices,"Gig workers to urge state and central governments to pass regulation ensuring due process for drivers before termination
The post A Beginner’s Guide to Gig Workers’ global campaign against Unfair Deactivation practices appeared first on MediaNama.",2023-01-12T07:59:34Z,https://www.medianama.com/2023/01/223-gig-workers-global-campaign-unfair-deactivation-practices-termination/,Whats the news Gig workers in eight cities of India will join the global campaign against unfair deactivation said the Indian Federation of AppBased Transport Workers IFAT union in a press release on January 11 2023. The campaign to stop unfair deactivation was started earlier this month by the International Alliance of Appbased Transport Workers IAATW. It launched a global petition as part of its yearlong mobilization to end sudden and unsubstantiated termination of driving privileges by multinationals. The workers called this practice the single largest cause of precarity in the appbased transportation industry. What is unfair deactivation According to the Telangana Gig and Platform Workers Union TGPWU every week companies like Ola Uber Swiggy Zomato etc allegedly block driver IDs of around 25 to 30 drivers. Leaders in the press release said that most drivers do not know the reason for this blocking nor are they provided a portal platform to resolve the issue. In fact the union said thousands of drivers in India and still more across the world experience such a deactivation on a daily basis without any understanding of the cause. This is so because most of the deactivation happens through algorithmic automation rather than a clearly stated cause. Deactivation an excuse for unlawful firing Biju Mathew IAATW President and Executive Council member New York Taxi Workers Alliance accused the companies of using the deactivation practice as a means of firing drivers. He said that a company must provide Just Cause or the reason for firing Latest Headlines Report A closer look at Indias website blocking practices and everything thats wrong with it January 13 2023 5 points in the checklist that EdTech companies must tick off while creating Ads Report January 13 2023 Examining Deemed Consent for creditscoring under Indias draft data protection law January 13 2023 With tall claims of success EdTech ads make parents feel that their child is missing out Report January 13 2023 Indian government cracks down on six YouTube channels for spreading fake news January 13 2023 MediaNamas mission is to help build a digital ecosystem which is open fair global and competitive. Views News After using the Mapples app as his default navigation app for a week Sarvesh draws a comparison between Google Maps and Mapples News In the case of the deemed consent provision in the draft data protection law brevity comes at the cost of clarity and user protection News The regulatory ambivalence around an instrument so essential to facilitate data exchange the CM framework is disconcerting for several reasons. News The provisions around grievance redressal in the Data Protection Bill stands to be dangerously sparse and nugatory on various counts. News By Soujanya Sridharan and Dr. Sarayu Natarajan Platform work and data the intersection Every time you use a ridehailing app the matching algorithm processes... Please subscribe to MediaNama. Dont share prints and PDFs. You May Also Like News Google has released a Google Travel Trends Report which states that branded budget hotel search queries grew 179 year over year YOY in India in... Advert 135 job openings in over 60 companies are listed at our free Digital and Mobile Job Board If youre looking for a job or... News Twitter takes down tweets from MP MLA editor criticising handling of pandemic upon government request By Aroon Deep and Aditya Chunduru Youre reading it here first Twitter has complied with government requests to censor 52 tweets that mostly criticised... News Rajesh Kumar doesnt have many enemies in life. But Uber for which he drives a cab everyday is starting to look like one he...
15,"Swiggy Delivered 3.5 Lakh Biryanis On New Year's Eve, This Variety Topped","Food delivery app Swiggy delivered 3.50 lakh biryani orders on Saturday and by 10.25 PM the app dispatched over 61,000 pizzas across the country, according to company sources.",2023-01-01T06:06:47Z,https://www.ndtv.com/india-news/swiggy-delivers-3-50-lakh-biryanis-over-61-000-pizzas-on-new-years-eve-report-3654457,Food delivery app Swiggy delivered 3. 50 lakh biryani orders on Saturday and by 10. 25 PM the app dispatched over 61000 pizzas across the country according to company sources. Swiggy also said as per a poll it conducted on Twitter 75. 4 per cent per cent orders came for Hyderabadi Biryani followed by Lucknowi14. 2 per cent and Kolkata10. 4 per cent. With 3. 50 lakh orders Biryani was the top item that was delivered sources told PTI. The app delivered 1. 65 lakh Biryani orders at 7. 20 PM on Saturday. Bawarchi one of top biryani selling restaurants in Hyderabad delivered two Biriyanis per minute on 2021 New year Eve and for December 31 2022 it prepared 15 tonnes of the delicacy to meet the demand. dominosindia 61287 pizzas have been delivered we can only imagine the number of oregano packets going with them Swiggy said in another tweet. It also said 1. 76 lakh packets of chips were ordered on Swiggy Instamart as of 7 PM Saturday. Stating that as many as 2757 packets of Durex condoms were delivered by Swiggy Instamart a grocery delivery platform it requested people to order 4212 more to make it 6969 and it can say nice. The party is already off to a fast start we have already delivered over 1. 3 million orders and counting. Our fleet restaurant partners are geared up to make this NYE unforgettable. Protip order early to beat the rush Sriharsha Majety Swiggy CEO said in a tweet last evening. About 12344 people across India ordered khichdi on New Years Eve by 9. 18 PM.
16,Milk was the most ordered item during India-Pakistan World Cup match: Report,"Overall, more than 50 users spent over  ₹2,00,000 on groceries in a single month. A single user from Bengaluru spent over  ₹16,60,000 buying groceries and essentials on Instamart.",2022-12-23T08:46:05Z,https://www.livemint.com/industry/retail/milk-was-the-most-ordered-item-during-the-india-pakistan-world-cup-match-report-11671785166339.html,Milk was the most ordered item during IndiaPakistan World Cup match Report 1 min read. Updated 23 Dec 2022 0218 PM IST Overall more than 50 users spent over 200000 on groceries in a single month. A single user from Bengaluru spent over 1660000 buying groceries and essentials on Instamart.
17,"Swiggy, Zomato Received More Than 5 Lakh Orders On New Year's Eve: Report",Swiggy took to its official Twitter handle to share that almost 3.5 lakh biryani and 2.5 lakh pizzas were delivered across the country on the last day of the year 2022.,2023-01-03T07:28:46Z,https://food.ndtv.com/news/swiggy-zomato-received-more-than-5-lakh-orders-on-new-years-eve-report-3659518,New Years Eve is the busiest time for everyone. People from across the globe party hard or go out for vacations to make the last day of 2022 and the first day of 2023 extra special. One thing that remains common in every situation is food Lets agree we all were on a bingeing spree and proof of that is the latest report shared by food delivery apps Swiggy and Zomato. According to the data there were more than five lakh orders in India on new years eve 31st night. Swiggy took to its official Twitter handle to share that almost 3. 5 lakh biryani and 2. 5 lakh pizzas were delivered across the country on the last day of the year 2022. The report also revealed that 76 percent of people ordered Hyderabadi biryani followed by Lucknowi biryani 14. 2 percent and Kolkata biryani 9. 7 percent. It is also surprising to find that about 12344 people across India ordered khichdi on New Years Eve through Swiggy. Also Read India Ordered 2 Biryanis Every Second In 2022 Swiggy Report The food delivery app went on to reveal that 1. 76 lakh packets of chips were ordered on Swiggy Instamart as of 7 pm on that day. 13984 packets of nachos 14453 lemons 14890 sodas have been marked delivered so far another tweet read. Zomato founder Deepinder Goyal and Blinkit founder Albinder Dindsa also tweeted about how India ordered on the last day of 2022. 41 packets of chips are being added to cart every second now on Blinkit revealed Dindsa. He further informed that one out of three people in Delhi ordered a cold drink on New Years night. Also Read Pune Man Orders Food Worth Rs 28. 6 Lakh In 2022 Zomato Shares On the other hand Deepinder Goyal shared Zomato received orders for 16514 biryanis which is roughly 15 tonnes on December 31 2022. He went on to share that the orders Zomato delivered on New Years Eve were more than all the orders the app delivered in the first 3 years. In fact Deepinder Goyal took the initiative of delivering four orders himself on the last day of 2022 out of which one was to an elderly couple celebrating NYE with their grandchildren he wrote. Click here to read the complete story. What did you order on the last day of 2022 through food delivery apps Do let us know in the comments below. Featured Video Of The Day About Somdatta SahaExplorer this is what Somdatta likes to call herself. Be it in terms of food people or places all she craves for is to know the unknown. A simple aglio olio pasta or daalchawal and a good movie can make her day.
18,Court Slams Mumbai Police For Filing Case Against Man Who Hit Dog With Bike,A division bench of Justices Revati Mohite Dere and Prithviraj Chavan slammed Mumbai Police for registering an FIR mindlessly against a Swiggy food delivery executive accused of hitting a dog while riding motorbike.,2023-01-06T06:54:29Z,https://www.ndtv.com/india-news/courts-slams-mumbai-police-for-filing-case-against-man-who-hit-dog-with-bike-3668688,A division bench of Justices Revati Mohite Dere and Prithviraj Chavan slammed Mumbai Police for registering an FIR mindlessly against a Swiggy food delivery executive accused of hitting a dog while riding motorbike. Quashing the FIR it also ordered the government to pay him costs. While the judgement was delivered on December 20 the detailed order became available this week. No doubt a dogcat is treated as a child or family member by their owners but basic biology tells us that they are not human beings. Sections 279 and 337 of the Indian Penal Code pertain to acts endangering human life or likely to cause hurt or injury to any other person the bench said. Section 279 deals with rash driving while 337 deals with causing hurt by act endangering life or personal safety of others. Thus legally speaking the said sections will have no application to the facts in hand this essential ingredient necessary to constitute the offences being amiss. The said sections do not recognize and make an offence any injury caused otherwise than to human being the court added. An FIR had been registered against Manas Godbole the petitioner after his motorbike allegedly hit a stray dog in Marine Drive area during lockdown in 2020. The petitioner who was delivering a food order himself was injured as the motorbike skidded. The FIR was registered on the complaint of a woman who was feeding stray dogs. The application of these sections by the Marine Drive police clearly shows nonapplication of mind. How sections 279 337 429 of the Indian Penal Code could have been applied to the case in hand even from a bare perusal of these sections defies logic it said. Considering that the police had lodged the said prosecution despite no offence having been disclosed we deem it appropriate to direct the state government to pay costs of Rs 20000 to the petitioner the court said. The amount shall be recovered from the salary of the police officers responsible for the lodging of the FIR and subsequent filing of the charge sheet the court said. Except for the headline this story has not been edited by NDTV staff and is published from a syndicated feed.
19,"New Year celebrations: Swiggy delivers 3.50 lakh biryani orders, over 2.5 lakh pizzas",The app had delivered 1.65 lakh Biryani orders at 7.20 PM on Saturday.,2023-01-01T07:09:30Z,https://www.moneycontrol.com/news/business/new-year-celebrations-swiggy-delivers-3-50-lakh-biryani-orders-over-2-5-lakh-pizzas-9794741.html,Food delivery app Swiggy delivered 3. 50 lakh biryani orders on Saturday and the app dispatched over 2. 5 lakh pizzas across the country according to company sources. Swiggy also said as per a poll it conducted on Twitter 75. 4 per cent per cent orders came for Hyderabadi Biryani followed by Lucknowi14. 2 per cent and Kolkata10. 4 per cent. With 3. 50 lakh orders Biryani was the top item that was delivered sources told PTI. The app had delivered 1. 65 lakh Biryani orders at 7. 20 PM on Saturday. Bawarchi one of top biryani selling restaurants in Hyderabad delivered two biryanis per minute on 2021 New year Eve and for December 31 2022 it prepared 15 tonnes of the delicacy to meet the demand restaurant sources said. dominosindia 61287 pizzas have been delivered we can only imagine the number of oregano packets going with them Swiggy said in a tweet at 10. 25 PM. Later Swiggy delivered over 2. 5 lakh pizzas for the day company sources said. It also said 1. 76 lakh packets of chips were ordered on Swiggy Instamart as of 7 PM Saturday. Stating that as many as 2757 packets of Durex condoms were delivered by Swiggy Instamart a grocery delivery platform it requested people to order 4212 more to make it 6969 and it can say nice. The party is already off to a fast start we have already delivered over 1. 3 million orders and counting. Our fleet restaurant partners are geared up to make this NYE unforgettable. Protip order early to beat the rush Sriharsha Majety Swiggy CEO said in a tweet last evening. About 12344 people across India ordered khichdi on New Years Eve by 9. 18 PM.
20,"Delhi Man Placed 3,330 Orders From Zomato This Year",The report also highlighted the highest amount of savings for a customer.,2022-12-29T09:54:56Z,https://www.ndtv.com/feature/delhi-man-placed-3-330-orders-from-zomato-this-year-3647571,After Dunzo and Swiggy Zomato released its yearly annual report. According to the data 186 biryani orders have been delivered every single minute. The report further says that pizza was the second most favourite dish for customers with 139 pizza deliveries every minute. The annual report also shed light on its top customer who placed 3330 orders through the app this year. A person named Ankur from Delhi placed 3330 orders this year. On average he placed 9 food orders every single day. The food delivery app has appreciated the man and even crowned him The nations biggest foodie in its annual report. The report also highlighted the highest amount of savings for a customer. It was a person from Mumbai who saved Rs. 243490 on total orders placed in 2022. The report revealed that West Bengals Raiganj loved discounts and 99. 7 per cent opted for promo codes on the app. Raiganj emerged as a city which loves discounts. The report also revealed the funniest questions searched on Zomato. Oreo pakoda with 4 988 searches Elon Musk food with 724 searches and Ye Kohli kya khata hai with 1 search. Meanwhile Swiggy also released its report and it also said that biryani was the most ordered dish on the app. The dish showed its asli dum with a mindboggling 137 Biryanis being ordered per minute thats 2. 28 Biryanis per second read the report by Swiggy.
21,Morning Scan: All the big stories to get you started for the day,A round-up of the biggest articles from newspapers.,2023-01-03T01:48:20Z,https://www.moneycontrol.com/news/business/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-377-9802311.html,Supreme Court in 41 verdict finds no flaws in 2016 demonetization decision The Supreme Court has upheld the central governments decision to cancel Rs 500 and Rs 1000 currency notes at four hours notice on November 8 2016. A fivemember constitution bench headed by justice Abdul Nazeer found no flaws in the decisionmaking processin a 41 ruling. The government was empowered to take the decision and due process was followed the top court said. The court which declined to be drawn into ruling on the economic merits of the policy citing its lack of expertise said enough time was given to people to exchange the currency. Why its important In her dissenting judgement justice BV Nagarathna said the move was unlawful and should have been preceded by a parliamentary debate. The majority judgement however said demonetization satisfied the test of proportionality. Stock markets ring in new year with rising indices in first trading session Indian gauges logged gains on the first trading day of 2023 riding on a combination of buying in index majors steady European markets and a boost in sentiment after the release of macroeconomic data. Both the indices clocked nearly 0. 5 per cent gains with the Sensex rising 327 points to end the session at 61168 while the 50share Nifty ended at 18197 a gain of 92 points. Why its important Both the indices have ended with gains in the first session of each year since 2019. Stocks typically rise during the last five and first two sessions of a calendar year. Manufacturing activity in India rises to a 26month high signaling resilient demand Indias manufacturing activity rebounded to a 26month high in December led by strong expansion in new orders and production according to the SP Global India Manufacturing Purchasing Managers Index. As production increased hiring also picked up and factory output grew at its fastest rate since November 2021. Manufacturing PMI rose sharply to 57. 8 in December from 55. 7 in November. However new overseas orders rose at the slowest pace in five months amid a demand slowdown in key export markets. Why its important Business outlook and confidence have improved as input costs pressures have eased. The increased activity also indicates resilient demand despite global challenges. Government to deliberate merits of letting large defaulters continue holding reins The central government will examine recommendations to let shareholders of large defaulters retain control of the businesses while exploring fresh investments and corporate restructuring with its lenders outside bankruptcy tribunals. The insolvency law committee of the corporate affairs ministry will examine this proposal in detail. The proposal to let the existing management retain control contrasts the original bankruptcy code structure of creditors taking control after the admission of the bankruptcy petition. Why its important If the new suggestions are accepted it will mark a major shift from the current practice of shareholders of defaulting companies ceding management control to an administrator appointed by a committee of creditors. Technology firms slow down hiring in face of impending economic recession in the West Indias technology companies are sharply reducing their hiring mandates with industry estimates pointing to a nearly 90 per cent drop in December from a peak of over 110000 monthly active openings a year ago. This sharp correction comes as Indias 220billion software services industry prepares for an uncertain economic scenario top recruiters said. The sharp deceleration in hiring which began with a nearly 50 per cent dip in June is being seen across both large and small IT services companies although demand for specific skills remains high. Why its important The shrinking mandate has been gathering pace in the second half of 2022 as high inflation and recessionary concerns deepened across the US and European markets. Reserve Bank report points to lapses at ICICI Bank under Chanda Kochhar At a time when former CEO Chanda Kochhar is under judicial custody in a kickbacksforloans case it has emerged that adverse observations were made in a risk assessment report by the Reserve Bank of India with regard to a Rs 335 crore loan sanctioned by ICICI Bank in 2014. Kochhar was the managing director and CEO of the bank at the time. The 2018 risk assessment report also indicated that during Kochhars tenure as CEO multiple disbursements were approved by the bank for letter of creditbacked bill discounting despite discrepancies in the underlying trade documents. Why its important Once valorized in banking circles it now seems Chanda Kochhars tenure as chief of ICICI Bank was tainted by murky deals. This calls for higher accountability at private lenders. Swiggy loses double at Rs 3600 crore costs rise to nearly Rs 10000 crore Food delivery firmSwiggys losses widened 2. 24 times to Rs 3628. 9 crore in the last financial year as its expenses surged 227 per cent. It came at a time when the companys revenue jumped more than twofold to Rs 5704. 9 crore in 202122 according to company research platform Tofler. Swiggy the unlisted competitor of Zomato spent 300 per cent more on advertisement and promotions. Outsourcing cost surged as well. Why its important The race to garner higher market share comes at an exorbitant cost. Whether the food delivery firm can continue the high cash burn remains to be seen. Online money gaming to soon have mandatory registration and selfregulation The Union government has proposed to bring online real money gaming platforms under the IT Intermediary Guidelines and Digital Media Ethics Code Rules 2021 which also regulates social media platforms. The government has also suggested creating a selfregulatory organization selfregulatory framework mandatory KYC verification of players the appointment of compliance and nodal officers and having a physical address in India. The ministry of electronics and IT has released a draft for public consultation. The final amendment to the rules after industry consultation will be notified by April. Why its important The new rules could hurt foreign betting firms while boosting the business of Indian fantasy sports and other gaming companies. Demand for consumer goods rises sequentially in December Demand for groceries personal care items and discretionary products such as apparel smartphones refrigerators and televisions improved in December. The value of FMCG goods sold in December rose 1. 4 per cent from the last month according to Bizom that analyses data based on orders at grocery stores. Electronics categories grew 810 per cent sequentially according to industry executives. Why its important This indicates a recovery after sales fell sequentially or remained flat for the past several months. Consumer firms will hope this trend sustains in the near term. Electric twowheeler sales rise 300 per cent to hit 600000 in 2022 Indias electric twowheeler market crossed the 600000 sales target and achieved a market penetration of 4 per cent in 2022 according to the governments VAHAN data. In 2022 624192 twowheelers were registered in the country up 300 per cent over 2021 when only 153523 units were registered and electric vehicle penetration was just 1 per cent. The sales target of half a million was achieved on the back of high sales from Ola Electric Okinawa Scooters Hero Electric and Ampere EV by Greaves.
22,Mint Explainer: Are Japan and the UK in a 'quasi-alliance'?,"Japan has signed a major defence pact with the UK, the first such treaty it has signed with a European country.",2023-01-11T11:12:50Z,https://www.livemint.com/opinion/online-views/mint-explainer-are-japan-and-the-uk-in-a-quasialliance-11673433845099.html,Mint Explainer Are Japan and the UK in a quasialliance 2 min read. Updated 11 Jan 2023 0442 PM IST Japan has signed a major defence pact with the UK the first such treaty it has signed with a European country. Tokyo and London concluded a new defence pact today allowing British and Japanese soldiers to deploy in each others countries. This pact is but the latest indication of a rapidly deepening relationship between the UK and Japan. Mint explains the stakes
23,Bengaluru man employs 'Swiggy' agent to send complaint to Apple Store,"A resident of Bengaluru utilised a delivery service platform, 'Swiggy' to send his complaint to the Apple shop.",2022-12-21T12:13:28Z,https://economictimes.indiatimes.com/news/new-updates/bengaluru-man-employs-swiggy-agent-to-send-complaint-to-apple-store/articleshow/96400615.cms,Shankar Ganesh detailed the event in a Twitter post. Swiggy Genies services were engaged by a man from Bengaluru. Swiggy Genie for those who are unfamiliar allows customers to request pickup and delivery services. Many people utilise the service to transfer papers meals or even keys to the recipient. Now this Bengaluru guy engaged a Swiggy Genie representative to effectively voice his dissatisfaction about a product at an Apple Store bypassing the How can I help you formalities. A person sent a Dunzo or Swiggy Genie guy to the Imagine Apple Store here and spoke to the staff through his phone to bypass centralised call centres. Just peakbengaluru things I guess read the caption. A person sent a Dunzo or Swiggy Genie guy to the Imagine Apple Store here and spoke to the staff through his phone to bypass centralized call centers Shankar Ganesh shankarganesh December 17 2022 Just peakbengaluru things I guess. The post got some relatable responses. While some remarked on how they would use this hack others simply praised the man for devising such an ingenious answer to contact centre woes. Many people related to the situation. They praised the man and his brilliant concept. Some even considered taking notes from the bright man. Up next someone productizing this as a startup one person said. FAQ 1 Swiggy was founded in which year Swiggy was founded in the year 2014. 2 Who was the founder of Swiggy Nandan Reddy and Sriharsha Majety. Disclaimer StatementThis content is authored by an external agency. The views expressed here are that of the respective authors entities and do not represent the views of Economic Times ET. ET does not guarantee vouch for or endorse any of its contents nor is responsible for them in any manner whatsoever. Please take all steps necessary to ascertain that any information and content provided is correct updated and verified. ET hereby disclaims any and all warranties express or implied relating to the report and any content therein. DoT may Seek Law Min Views on Giving Spectrum to Entities The Department of Telecommunications DoT is likely to seek the opinion of the law ministry over allocation of spectrum to enterprises for rolling out private captive networks. DRI Issues Show Cause Notice to Samsung India The Directorate of Revenue Intelligence DRI has issued a show cause notice to Samsung India Electronics SIEL asking why the agency should not recover 1728. 47 crore as duty along with interest for alleged customs duty evasion. Trafigura Sells Nayara Stake to Hara Swissheadquartered commodity trader Trafigura sold its 24. 5 interest in Nayara Energy Ltd formerly Essar Oil to Hara Capital Sarl severing ties with Russian energy giant Rosneft. Download The Economic Times News App to get Daily Market Updates Live Business News. ETPrime stories of the day
