Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
15,"Lou Reed’s Writings on Martial Arts Set for Release, With Laurie Anderson Foreword",Somewhat Positive,0,[],[],"[Lou, Reedan, Laurie, Anderson, Reed, Ren, GuangYi, Iggy, Pop, Tony, Visconti, Julian, Schnabel, Hal, Willner, Anderson, Stephan, Berwick, Bob, Currie, Scott, Richman]"
16,"Boston Calling 2023 Headliners: Foo Fighters, Queens of the Stone Age, Paramore, and Yeah Yeah Yeahs",Somewhat Positive,50,['Shake'],['death'],"[Alanis, Morissette, Maren, Morris, Niall, Horan, Chelsea, Cutler, Teeddy, Swims, Noah, Kahan, Mt., Joy, Fletcher, Genesis, Owusu, Declan, McKenna, Taylor, Hawkins, Hawkins]"
17,"Country Westerns Announce New Album Forgive the City, Share Song: Listen",Somewhat Positive,110,"['Dead', 'Wrong']","['Fat', 'Hell']","[Matt, Sweeney, Miranda, Zipse, Titus, Andronicus, Richard, Linda, Thompson, Matt, Sweeney, Knucklen]"
18,"U.S. Girls Announce New Album Bless This Mess, Share Video for New Song: Watch",Extremely Negative,280,"['Mess', 'Mess', 'Mess', 'Mess']",[],"[Meg, Remy, Carlyn, Bezic, Glenn, Gould, Michael, Rault, Marker, Starling, Alanna, Stuart, 'harassment']"
19,Aerosmith’s Steven Tyler Sued for 1970s Sexual Abuse of a Minor,Extremely Negative,1410,"['sued', 'battered', 'limitations', 'complaints', 'powerless', 'distress', 'complaints', 'vulnerable', 'suffered', 'Crisis']","['sexually', 'sexually', 'sexual', 'abuse', 'sexual', 'assault', 'sexual', 'abuse', 'sexual', 'assault', 'Sexual', 'Assault']","[Steven, Tyler, 'lawsuit', 'harassment', 'lawsuit', Julia, Holcomb, Tyler, Holcomb, 'harassment', 'harassment', 'harassment', Holcomb, Tyler, Steven, Tyler, 'lawsuit', Julia, Holcomb, Ed, McCormack, WellJulia, Holcomb, Steven, Tyler, Tyler, Holcomb, Tyler, 'lawsuit', Steven, Tyler, 'harassment', 'harassment', 'harassment', 'harassment']"
20,"De La Soul Finally Bringing Classic Albums to Streaming Services, Group Confirms",Extremely Positive,70,"['Dead', 'overdue', 'false', 'outcry', 'dispute', 'Grind', 'Dead', 'Jam']",[],"[David, Byrne, Damon, Albarn, Usher, Jeff, Changs, Sunday]"
21,"The Hold Steady Announce New Album, Share Song: Listen",Extremely Positive,20,"['Bash', 'Dark']",[],"[Bonny, Light, Horsemans, Josh, Kaufman, D., James, Goodwin, Craig, Finn, Craig, Finns, Carlos]"
22,"Belle and Sebastian Releasing New Album, Late Developers, This Friday",Extremely Positive,40,[],['Naked'],"[Stuart, Murdoch, Pete, Ferguson, Juliet, Naked]"
23,"Iris DeMent Announces New Album Workin’ on a World, Shares Song: Listen",Extremely Positive,60,"['Infamous', 'Dead']",['gun'],"[Iris, DeMent, Richard, Bennett, Jim, Rooney, Pieta, Brown, Iris, DeMents]"
24,Kendrick Lamar to Headline Bonnaroo 2023,Somewhat Positive,140,"['Dead', 'Stranger', 'Shake', 'concerns', 'issues']","['Mafia', 'death']","[Kendrick, Lamar, Dead, Odesza, Liquid, Stranger, Sheryl, Crow, Rina, Sawayama, Alex, G, Midi, Korn, Tyler, Childers, Jenny, Lewis, Marcus, Mumford, Franz, Ferdinand, Dehd, Diarrhea, Ezra, Furman, Suki, Waterhouse, Sylvan, Esso, Sampa, Madison, Cunningham, Louis, the, Child, Sofi, Tukker, Remi, Wolf, Bob, Moses, Amber, Mark, Lamar, Morale, the, Big, Steppers, Taylor, Hawkins, Hawkins, J., Cole, Tool, Stevie, Nicks]"
25,"Animal Collective’s Avey Tare Announces New Album 7s, Shares New Songs: Listen",Extremely Positive,60,"['Invisible', 'Lost']",['Church'],"[Avey, Tare, Avey, Tare]"
26,Dr. Dre Sends Cease and Desist to Marjorie Taylor Greene Over “Still D.R.E.”,Extremely Negative,500,"['condemned', 'divisive', 'hateful', 'divisive', 'hateful', 'controversial', 'sue', 'false']","['Republican', 'violence', 'fraud', 'conspiracy']","[Dre, Marjorie, Taylor, Greenes, Dres, Howard, E., King, Taylor, Greene, Dres, King, Dres, Greene, 'lawsuit', Kevin, McCarthys, Dr., Dre, Neil, Young, Donald, J., Trumps, Marjorie, Taylor, Greene, Trump]"
27,Dr. Dre Selling Music Assets to Universal Music Group and Shamrock Capital: Reports,Extremely Negative,280,"['Chronic', 'revert', 'unclear', 'restrict']",['Death'],"[Dre, Dre, Kendrick, Lamars, Dre, Marjorie, Taylor, Green, Dres, Dre, Dre, Bob, Dylan, Leonard, Cohen, David, Bowie, Bruce, Springsteen, Chuck, D, Future, Dr., Dre, Roy, E., Disney, Taylor, Swift, Swift]"
28,"Weapons-grade 808s, luscious horns and a megastar’s early steps: the best music our writers discovered this year",Extremely Positive,620,"['averse', 'slow', 'abrasive', 'shake', 'craze', 'intense', 'comical', 'frenetic', 'loud', 'utterly', 'obscure', 'cold', 'hard', 'stuck', 'sink', 'squeals', 'explosive', 'cry', 'bonkers', 'noise', 'moody', 'cold', 'chaos', 'sleazy', 'strange', 'worse', 'languorous', 'sink', 'desolation', 'loose', 'lose', 'static', 'obsessive', 'missed', 'acerbic', 'mistakenly', 'faint', 'nervous']","['violence', 'fuckin', 'hole', 'Nigerian', 'queer']","[Chief, Keef, Chief, Keefs, 4NEM, Keefs, Keefs, CO, Half, Man, Half, Biscuit, Bob, Wilson, Nigel, Blackwells, Bob, Wilson, TJ, Dan, the, Automator, Prince, Paul, Cat, Powers, Cat, Power, Kennys, Kenny, G, Miles, Davis, Kenny, Garrett, Kenny, Dorham, Kenny, Ball, Kenny, Wheeler, Wheeler, John, Taylor, Peter, Erskine, Duke, Ellington, Wheeler, Wheeler, Kenny, AK, Llwybr, Llaethog, ElectroSian, Llwybr, Llaethog, Oby, Onyioha, EH, Roy, Montgomery, Temple, IV1996, Tom, Dowse, Roy, Montgomery, Dowses, Takeshi, Terauchi, Takeshi, Terauchis, Terachis, Paul, Hartnoll, Taylor, Swift, Taylor, Swift, Taylor, JS]"
29,"Marilyn Manson sexual assault lawsuit dismissed, for now",Extremely Negative,1100,"['prejudice', 'prejudice', 'allegations', 'broke', 'denied', 'allegations', 'refused', 'scared']","['sexual', 'assault', 'sexually', 'knife', 'abuse', 'sexual', 'assault']","['harassment', 'harassment', 'lawsuit', Brian, Warnera, ., Marilyn, Mansonhas, 'harassment', Ashley, Morgan, Smithline, 'harassment', 'lawsuit', Smithline, Manson, Manson, Manson, 'lawsuit', Mansons, Manson, Ashley, Smithline, Brian, Warner, Smithline, Warner, 'lawsuit', Manson, 'harassment', 'harassment', 'lawsuit', Esm, Bianco, 'lawsuit', Evan, Rachel, Wood]"
30,Pusha T Says He’s No Longer the President of Kanye West’s G.O.O.D. Music,Extremely Negative,450,"['resigned', 'Jam', 'disturbing', 'hateful', 'Jam', 'hate', 'Jam', 'contentious', 'splitting', 'sued', 'Jam', 'dispute', 'disappointing', 'bigotry', 'hate', 'disappointing']",['Hitler'],"[Pusha, T, Kanye, Wests, G., Pusha, T, Pusha, T, Pusha, T, West, Pusha, T, West, Adolf, Hitler, West, Nicholas, J., Fuentesa, Pusha, T, West, West, Pusha, T, West, 'harassment']"
