Article,Title,Description,URL,Content
10,DaBaby Beats $6 Millon Lawsuit,"A jury found him not liable for battery, breach of contract, and defamation in connection with a 2020 incident in Florida",https://pitchfork.com/news/dababy-beats-dollar6-millon-lawsuit/,After a fiveday trial a jury has found in favor of DaBaby who was facing a 6 million federal lawsuit accusing him of battery breach of contract and defamation according to documents viewed by Pitchfork. In DaBabys countersuit plaintiffs Kenneth Carey and Steve Anyadike were found to be liable for invasion of privacy and unauthorized use of name or likeness. In January 2020 DaBaby was arrested and questioned by police in Miami about an alleged robbery he was found to have an outstanding warrant in Texas spent the night at Miamis Turner Guilford Knight Correctional Center and was released the next day. A month later Carey a concert promoter filed a lawsuit claiming DaBaby breached his contract to perform and along with his associates beat and robbed him. TMZ published a video depicting a portion of the incident. The charges were dropped by police in March. That same month DaBaby was sued for battery after an unrelated incident in Tampa Florida in which a woman claimed he struck a woman injuring her head and face. In June 2021 DaBaby was arrested in Beverly Hills and charged with possession of a loaded and concealed firearm. In April 2022 he was charged with felony battery after an incident in December 2020 in which he allegedly hit the owner of a property he had rented to shoot a music video. Both DaBaby and Roddy Ricch were sued earlier this month by a Florida producer who claims the pair ripped off his song for their hit Rockstar.
11,"Theophilus London Found “Safe and Well” After Being Reported Missing, Cousin Says",The musician was located on Wednesday after friends and family filed a missing persons report last week,https://pitchfork.com/news/theophilus-london-found-safe-and-well-after-being-reported-missing-cousin-says/,Theophilus London has been found after friends and family reported him missing last week according to an Instagram post from his cousin Mikhail Noel who was the contact listed in the initial statement. We have found Theo he is safe and well Noel wrote. At this time the family would love prayers and privacy. Thank you all In the caption Noel added Truly appreciate everyones support in finding my cousin. Its refreshing and rewarding to have such a strong support system of family and friends God bless each and everyone of you all. Friends and family of Theophilus London filed a missing persons report with the Los Angeles Police Department on December 27 not having heard from the artist for several months. A representative from Secretly Group shared the news on December 28 offering a statement detailing Londons absence. Over the last few weeks friends and family of Theophilus London have been working together to piece together his whereabouts the statement read. The last time someone spoke with him reportedly stretches back to July 2022 in Los Angeles. Secretlys statement also included a message from Londons father Theo your Dad loves you son. We miss you. And all your friends and relatives are searching for you. Wherever you are send us some signal. No matter what we will come get you son. Pitchfork has reached out to representatives for the Los Angeles Police Department and Secretly Group for further comment and information.
12,Black Sheep Sue Universal Music Group Over Spotify Stock Sales,The musicians allege that label owes more than $750 million in unpaid royalties due to an early arrangement with Spotify,https://pitchfork.com/news/black-sheep-sue-universal-music-group-over-spotify-stock-sales/,Black Sheep have filed a classaction lawsuit against Universal Music Group Rolling Stone reports and Pitchfork can confirm. The 1990s hiphop duo allege that the label owes more than 750 million in royalties to numerous Universal artists due to an early sweetheart arrangement with Spotify which allowed the streaming company to pay less in royalties in exchange for Spotify stock. The artists are suing Universal for breach of contract breach of duty of good faith and fair dealing and unjust enrichment. In the lawsuit plaintiffs Andres Dres Vargas Titus and William Mista Lawnge McLean allege that Universal is withholding hundreds of millions of dollars in royalties due to a previously undisclosed agreement with Spotify. This sweetheart arrangement allowed Spotify to license music from the label at a discounted rate in exchange for Spotify stock and lower royalty payments. In the mid2000s Universal struck an undisclosed sweetheart deal with Spotify whereby Universal agreed to accept substantially lower royalty payments on artists behalf in exchange for equity stake in Spotifythen a fledgling streaming service the lawsuit claims. Yet rather than distribute to artists their 50 percent of Spotify stock or pay artists their true and accurate royalty payments for years Universal shortchanged artists and deprived Plaintiffs and Class Members of the full royalty payments they were owned under Universals contract. The rappers claim that the deal violated their 1990 contract with Polygram which later merged with Universal. The contract stipulated that the label must pay 50 percent of all net receipts connected to the use or exploration of their music to the artists themselves based on the standard recording contract that Universal uses. Universal not only has breached its contract with Plaintiffs by failing to compensate them for the depressed royalty payments made possible by UMGs deal with Spotify but it also concealed from Plaintiffs and the Class that the Company had received and retained 100 percent of its Spotify stock the lawsuit continues. This additional wrong prevented Plaintiffs and the Class from questioning their royalty payments. The lawsuit also notes that while Titus and McLean dont know exactly how many artists are affected they believe that the Class encompasses at least thousands of artists whose identities can be readily ascertained from Universals records. In a statement a Universal Music Group spokesperson said Universal Music Groups innovative leadership has led to the renewed growth of the music ecosystem to the benefit of recording artists songwriters and creators around the world. UMG has a wellestablished track record of fighting for artist compensation and the claim that it would take equity at the expense of artist compensation is patently false and absurd. Given that this is pending litigation we cannot comment on all aspects of the complaint. Pitchfork has reached out to representatives for Black Sheep and Spotify for more information.
13,"Frankie Rose Announces First Album in 6 Years, Shares Song: Listen","“Anything” is the lead single from Rose’s Love as Projection, the follow-up to 2017’s Cage Tropical",https://pitchfork.com/news/frankie-rose-announces-first-album-in-6-years-shares-song-listen/,Frankie Rosewho previously played in Vivian Girls Dum Dum Girls and Crystal Stiltshas announced her first solo album in six years. Love as Projection is out March 10 via Slumberland. Today Rose has released lead single Anything which you can check out below. Scroll down to view the tracklist. Roses last fulllength Cage Tropical came out in 2017. That same year she released a fullalbum cover of the Cures 1980 record Seventeen Seconds. Prior to Cage Tropical Rose issued her 2012 solo album Interstellar and 2013s Herein Wild as well as Careers the 2014 LP by her band Beverly. Along with the new album Frankie Rose has a pair of tour dates in the near future Shell play Montreals Casa del Popolo on February 11 and Brooklyns Union Pool on March 11. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission. Love as Projection 01 Sixteen Ways 02 Anything 03 Had It Wrong 04 Saltwater Girl 05 Feel Light 06 DOA 07 Sleeping Night and Day 08 Molotov in Stereo 09 Come Back 10 Song for a Horse
14,"Lou Reed’s Writings on Martial Arts Set for Release, With Laurie Anderson Foreword","The Art of the Straight Line collects the accomplished shadowboxer’s unpublished writings on tai chi, music, and meditation",https://pitchfork.com/news/lou-reed-writings-on-martial-arts-set-for-release-with-laurie-anderson-foreword/,A new book will compile the writings of Lou Reedan accomplished tai chi practitioner from the 1980s until his deathon music meditation and martial arts. The Art of the Straight Line My Tai Chi out March 14 via HarperOne features a foreword from the late artists partner Laurie Anderson. The book comprises unpublished writings on the technique practice and purpose of martial arts as well as essays observations and riffs on meditation and life according to the publisher. Reed who studied with Master Ren GuangYi discussed the practice with artists friends and other tai chi practitioners such as Iggy Pop Tony Visconti Julian Schnabel and the late Hal Willner. Those conversations also appear in the book. Anderson edited the book alongside Stephan Berwick Bob Currie and Scott Richman. Faber will publish The Art of the Straight Line in the United Kingdom and Ireland on March 16. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
15,"Boston Calling 2023 Headliners: Foo Fighters, Queens of the Stone Age, Paramore, and Yeah Yeah Yeahs","The National, Flaming Lips, Alanis Morissette, the Walkmen, and King Gizzard & the Lizard Wizard are also on the lineup",https://pitchfork.com/news/boston-calling-2023-headliners-foo-fighters-queens-of-the-stone-age-paramore-yeah-yeah-yeahs/,Boston Calling has announced its 2023 lineup. Fridays headliners are Foo Fighters and Yeah Yeah Yeahs Saturdays are the Lumineers and Alanis Morissette and Paramore and Queens of the Stone Age will close the weekend on Sunday. Elsewhere on the bill the National Flaming Lips the Walkmen King Gizzard the Lizard Wizard Bleachers 070 Shake and the Linda Lindas are among the acts. The festival takes place on Memorial Day weekend May 2628 at the Harvard Athletic Complex. Check out the poster below. Other artists on this years bill include Maren Morris Niall Horan Chelsea Cutler Teeddy Swims Noah Kahan Mt. Joy Fletcher Genesis Owusu Declan McKenna and the Aces. Foo Fighters are yet to play their first headline shows since the death of drummer Taylor Hawkins last March. Last month the band said it would return soon and that Hawkins will be there in spirit with all of us every night. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
16,"Country Westerns Announce New Album Forgive the City, Share Song: Listen","“It’s a Livin’” leads the group’s sophomore LP, which was produced by frequent collaborator Matt Sweeney",https://pitchfork.com/news/country-westerns-announce-new-album-forgive-the-city-share-song-listen/,Garage rockers Country Westerns have returned to announce their sophomore album. Forgive the City follows their selftitled debut which landed in 2020. The new LP was produced by frequent collaborator Matt Sweeney. It arrives April 28 via Fat Possum. Country Westerns have also shared lead single Its a Livin along with a music video directed by Miranda Zipse which you can watch below. Next month Country Westerns will embark on a lengthy North American tour. It begins in Atlanta Georgia on February 21 and will keep the band on the road until April 8 when they conclude the trek in Brooklyn New York. Titus Andronicus and the Schizophonics will play select bills during the leg too. Find their complete list of tour dates below. Since releasing their first album Country Westerns have shared a covers EP also selftitled that included their take on tracks by Richard and Linda Thompson Dead Moon and more as well as one original song. Last year the band issued a oneoff single called Money on the Table. That song was also produced by Matt Sweeney. Find out where Country Westerns debut landed on Pitchforks list of The 35 Best Rock Albums of 2020. Forgive the City 01 Knucklen 02 Speaking Ill of the Blues 03 Grapefruit 04 Money on the Table 05 Wait for It 06 Country Westerns 07 Its a Livin 08 Something Goes Wrong 09 Cussin Christians 10 Where Im Going 11 Hell 12 Marinero
17,"U.S. Girls Announce New Album Bless This Mess, Share Video for New Song: Watch",Meg Remy and company will also tour North America in the spring,https://pitchfork.com/news/us-girls-announce-new-album-bless-this-mess-share-video-for-new-song-watch/,U. S. Girls have announced a new album sharing another new song from the forthcoming LP. Bless This Mess is out February 24 via 4AD. The new track is titled Futures Bet and it arrives with a video. Meg Remy and company will play a handful of springtime shows in support of the album recruiting band member Carlyn Bezic to open with her project Jane Inc. Listen to Futures Bet see the rest of the tracklist and find the tour itinerary below. The new album includes So Typically Now and Bless This Mess which have been released as singles in recent months. Since 2020s Heavy Light Remy has reinterpreted material from Glenn Gould and released an essay collection titled Begin by Telling. Bless This Mess 01 Only Daedalus 02 Just Space for Light 03 Screen Face ft. Michael Rault 04 Futures Bet 05 So Typically Now 06 Bless This Mess 07 Tux Your Body Fills Me Boo 08 R. I. P. Roy G. Biv ft. Marker Starling 09 St. James Way 10 Pump ft. Alanna Stuart 11 Outro The Let Down U. S. Girls 0413 Montreal Quebec PHI Centre 0414 Boston MA The Sinclair 0415 Philadelphia PA The Foundry 0417 Brooklyn NY Elsewhere 0418 Washington D. C. Union Stage 0421 Chicago IL Lincoln Hall 0427 Toronto Ontario Velvet Underground 0428 Toronto Ontario Velvet Underground All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
18,Aerosmith’s Steven Tyler Sued for 1970s Sexual Abuse of a Minor: Report,A woman claims that the singer sexually assaulted and sexually battered her when she was a 16-year-old in 1973,https://pitchfork.com/news/aerosmith-steven-tyler-sued-for-1970s-sexual-abuse-of-a-minor/,Steven Tyler is being sued by a woman who alleges that the Aerosmith frontman sexually assaulted and sexually battered her when she was a minor in the 1970s Rolling Stone reports. The lawsuit as Rolling Stone notes could be filed due to Californias Child Victims Act which temporarily lifted the statute of limitations for alleged survivors of childhood sexual abuse to file complaints. In the lawsuit the plaintiff Julia Holcomb alleges that she met Tyler in 1973 when she was 16 years old and he was 25. The two apparently had a relationship that lasted three years and Holcomb now alleges that she was powerless to resist the singers power fame and substantial financial ability and that he coerced and persuaded Plaintiff into believing this was a romantic love affair. In addition to sexual assault and sexual battery Holcomb is suing Tyler for intentional infliction of emotional distress. Steven Tyler is not specifically named in the lawsuit but contemporaneous details align with the singer being the complaints defendant. For example Julia Holcomb is named in Rolling Stones 1976 profile of Aerosmith with journalist Ed McCormack writing WellJulia Holcomb is always nearby trailing in her wistfully towering way off his arm like a scarfbut Steven Tyler is wedded to his career and image 24 hours a day. In addition Tyler apparently wrote about a relationship with an underage girl in his 2011 memoir. Holcomb also named Tyler in a statement she released regarding the lawsuit. I want this action to expose an industry that protects celebrity offenders to cleanse and hold accountable an industry that both exploited and allowed me to be exploited for years along with so many other nave and vulnerable kids and adults she wrote. Because I know that I am not the only one who suffered abuse in the music industry I feel it is time for me to take this stand and bring this action to speak up and stand in solidarity with the other survivors. I hope that from this action we can make the music industry safer expose the predators in it and expose those forces in the industry that have both enabled and created a culture of permissiveness and selfprotection of themselves and the celebrity offenders among them. Pitchfork has reached out to representatives for Steven Tyler for comment and more information. If you or someone you know has been affected by sexual assault we encourage you to reach out for support RAINN National Sexual Assault Hotline httpwww. rainn. org 1 800 656 HOPE 4673 Crisis Text Line SMS Text HELLO or HOLA to 741741
19,"De La Soul Finally Bringing Classic Albums to Streaming Services, Group Confirms","The hip-hop legends say they have control of their masters and will reissue 3 Feet High and Rising, De La Soul Is Dead, and more in March",https://pitchfork.com/news/de-la-soul-finally-bringing-classic-albums-to-streaming-services-group-confirms/,De La Souls classic albums are finally coming to streaming services on March 3 the group says. The hiphop legends run from 1989 through 2001 will be released digitally via bandmember Maseos label AOI in partnership with Reservoir and the distribution wing of Chrysalis. The six albums are 3 Feet High and Rising De La Soul Is Dead Buhloone Mindstate Stakes Is High Art Official Intelligence Mosaic Thump and AOI Bionix. Its been 20 plus years overdue but finally we are here Maseo said in a press release. Physical reissues are also set for release on March 3. The news comes after a false start in 2019 when De La Soul suggested that Tommy Boys plans to bring their classic records to streaming services involved an exploitative contract. The planned release was canceled after a public outcry. In 2021 the band said the dispute had been resolved after Reservoir acquired Tommy Boy. De La Souls last album was 2016s And the Anonymous Nobody which had been their first since 2004s The Grind Date. The 2016 album featured Little Dragon David Byrne Damon Albarn Usher and others and came with a documentary called Were Still Here Now. In 2017 De La Soul jumped on Gorillazs Humanz track Momentz. Read Jeff Changs Sunday Review of 3 Feet High and Rising and check out Pitchforks rundowns of the Best Albums and Songs of the 1990s featuring De La Soul Is Dead on the former and on the latter Stakes Is High and A Rollerskating Jam Named Saturdays. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
20,"The Hold Steady Announce New Album, Share Song: Listen",The band is also hitting the road starting this fall,https://pitchfork.com/news/the-hold-steady-announce-new-album-share-song-listen/,The Hold Steady have announced a new album The Price of Progress arrives March 31 via the bands Positive Jams label and Thirty Tigers and is led by the single Sideways Skull. The band which is celebrating its 20th anniversary will also hit the road starting January 28 in Brooklyn New York for a series of special event concerts. See the tour dates tracklist and cover art and listen to Sideways Skull below. The Price of Progress is the followup to 2021s Open Door Policy. The band recorded its ninth LP in Rhinebeck New York with production by Bonny Light Horsemans Josh Kaufman and mixing by D. James Goodwin. These are some of the most cinematic songs in the Hold Steady catalog and the record was a joy to make vocalist and guitarist Craig Finn wrote in a statement. I feel like we went somewhere we havent before which is a very exciting thing for a band that is two decades into our career. Read Pitchforks review of Craig Finns 2022 album A Legacy of Rentals. The Price of Progress 01 Grand Junction 02 Sideways Skull 03 Carlos Is Crying 04 Understudies 05 Sixers 06 The Birdwatchers 07 City at Eleven 08 Perdido 09 Distortions of Faith 10 Flyover Halftime The Hold Steady 0128 Brooklyn NY Music Hall of Williamsburg 0202 Baltimore MD Ottobar 0203 Washington D. C. Black Cat 0204 Philadelphia PA Brooklyn Bowl 0310 London England Electric Ballroom 0311 London England Electric Ballroom 0312 London England Colours Hoxton 0512 New York NY WFUV Highline Bash 0630 Chicago IL The Salt Shed 0701 Chicago IL The Salt Shed 0702 Chicago IL Empty Bottle 112930 Brooklyn NY Brooklyn Bowl 1212 Brooklyn NY Brooklyn Bowl with Two Dark Birds with Friendship with The Mountain Goats with Dillinger Four All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
21,"Belle and Sebastian Releasing New Album, Late Developers, This Friday",The band’s follow-up to last year’s A Bit of Previous is led by the new song “I Don’t Know What You See in Me”,https://pitchfork.com/news/belle-and-sebastian-releasing-new-album-late-developers-this-friday-01-13-2023/,Belle and Sebastian have announced a new album Late Developers is out this Friday January 13 via Matador. The album was recorded during the sessions for 2022s A Bit of Previous and finds Stuart Murdoch and his bandmates pairing their guitaroriented songwriting with touches of harpsichord and other instrumentation. Check out the tracklist for the upcoming album below. Ahead of the full release the band has shared a song called I Dont Know What You See in Me which arrives with its own music video. The single was cowritten by Pete Ferguson of the band Wuh Oh and marks the first time that Belle and Sebastian have ever enlisted a cowriter. In the video a figure skater glides across an ice rink with a plastic bag over their head. Listen to the track below and head to Facebook for the music video. Late Developers follows A Bit of Previous the bands first studio album in seven years. Belle and Sebastian are touring North America later this year. See where Belle and Sebastians 1996 album If Youre Feeling Sinister landed on Pitchforks list of The 150 Best Albums of the 1990s. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission. Late Developers 01 Juliet Naked 02 Give a Little Time 03 When We Were Very Young 04 Will I Tell You a Secret 05 So in the Moment 06 The Evening Star 07 When Youre Not With Me 08 I Dont Know What You See in Me 09 Do You Follow 10 When the Cynics Stare Back From the Wall 11 Late Developers
22,"Iris Dement Announces New Album Workin’ on a World, Shares Song: Listen",The country singer-songwriter’s first new LP since 2015 arrives in February,https://pitchfork.com/news/iris-dement-announces-new-album-workin-on-a-world-shares-song-listen/,Iris DeMent has a new album arriving soon. The singersongwriter announced that her next LP is titled Workin on a World and its out February 24. The album includes Goin Down to Sing in Texas a lengthy song about gun control that DeMent first released in 2020. Find it and the title track to Workin on a World below. According to a press release Workin on a World has been in development for six years. DeMent worked with coproducers Richard Bennett Jim Rooney and Pieta Brown completing the project in Nashville last year. Its her seventh album and her first in nearly a decade following 2015s The Trackless Woods. To celebrate the release of her new album DeMent will be embarking on a short tour in the winter and spring. The trek spans seven dates in total beginning with a concert in Notre Dame Indiana on February 17 and concluding in Stoughton Wisconsin on May 13. Find the full list of tour dates below. Read Pitchforks Sunday Review of Iris DeMents 1992 debut Infamous Angel and find it at No. 144 on Pitchforks list of The 150 Best Albums of the 1990s. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission. Workin on a World 01 Workin on a World 02 Goin Down to Sing in Texas 03 Say a Good Word 04 The Sacred Now 05 I Wont Ask You Why 06 Warriors of Love 07 Let Me Be Your Jesus 08 The Cherry Orchard 09 Nothin for the Dead 10 Mahalia 11 How Long 12 Walkin Daddy 13 Waycross Georgia
23,Kendrick Lamar to Headline Bonnaroo 2023,"Foo Fighters, Paramore, Lil Nas X, Odesza, Sheryl Crow, Zeds Dead, Liquid Stranger, and others are also on the bill for the Tennessee festival",https://pitchfork.com/news/kendrick-lamar-to-headline-bonnaroo-2023/,The Bonnaroo Music Arts Festival is returning to Manchester Tennessee from June 1518. The full lineup unveiled today features headliners Kendrick Lamar Foo Fighters Zeds Dead Odesza and Liquid Stranger. Others on the bill include Paramore Lil Nas X Sheryl Crow Fleet Foxes Pixies Baby Keem Three 6 Mafia Rina Sawayama Alex G Black Midi Korn Tyler Childers My Morning Jacket Muna Jenny Lewis the Beths Marcus Mumford Franz Ferdinand and many more. Find the complete roster on the festival poster below. Others on the lineup include Big Freedia 070 Shake Dehd Diarrhea Planet Ezra Furman Suki Waterhouse Portugal. The Man Sylvan Esso Sampa the Great Madison Cunningham Louis the Child Sofi Tukker Remi Wolf Bob Moses Girl in Red Men I Trust and Amber Mark. The Bonnaroo Superjam will take place on Saturday June 17. Select performances from the weekend will stream on Hulu. Lamar is continuing his extensive tour behind Mr. Morale the Big Steppers into 2023 adding Bonnaroo to a schedule that includes Primavera Sound and Osheaga. Foo Fighters who also announced a Boston Calling headline show this morning will soon return to the stage for their first headline shows since the death last March of drummer Taylor Hawkins. The band said in a statement last month that Hawkins will be there in spirit with all of us every night. Last year marked Bonnaroos first festival since the pandemic with headliners J. Cole Tool and Stevie Nicks. The 2020 edition was canceled due to the pandemic. When Bonnaroo organizers pushed the following years planned festival back to September 2021 a number of artists withdrew from the event over safety concerns. It was eventually canceled for unrelated issues one of which was flooding from Hurricane Ida. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
24,"Animal Collective’s Avey Tare Announces New Album 7s, Shares New Songs: Listen",Avey Tare will also head out on a North American tour in March,https://pitchfork.com/news/animal-collective-avey-tare-announces-new-album-7s-shares-new-songs-listen/,Animal Collectives Avey Tare has announced another new solo album thats due soon. Its titled 7s and its out February 17 via Domino. Hes shared two tracks from the projectThe Musical and Hey Bogalong with tour dates for a North American run this spring. Find the new songs and tour details below. Since issuing Cows on Hourglass Pond in 2019 Avey Tare has remixed material from Spirit of the Beehive and released a track titled Wake My Door. Animal Collective have chased last years Time Skiff with a Tiny Desk concert a score to a new A24 drama and a Silver Jews cover. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission. 7s 01 Invisible Darlings 02 Lips at Night 03 The Musical 04 Hey Bog 05 Sweepers Grin 06 Neurons 07 Cloud Stop Rest Start Avey Tare 0323 Asheville NC The Grey Eagle 0324 Savannah GA Lodge of Sorrows 0325 Atlanta GA Aisle 5 0327 Durham NC Motorco Music Hall 0328 Washington D. C. Songbyrd 0329 Philadelphia PA First Unitarian Church 0331 Brooklyn NY Market Hotel 0401 Boston MA Brighton Music Hall 0403 Montreal Quebec Bar Le Ritz PDB 0404 Toronto Ontario The Drake Underground 0406 Detroit MI El Club 0407 Chicago IL Sleeping Village 0408 Minneapolis MN 7th Street Entry 0427 Big Sur CA Henry Miller Memorial Library 0428 San Francisco CA The Chapel 0429 Novato CA HopMonk Tavern 0501 Portland OR Polaris Hall 0502 Seattle WA The Crocodile 0503 Vancouver British Columbia Biltmore Cabaret 0505 Salt Lake City UT Urban Lounge 0506 Denver CO Lost Lake Lounge 0508 Santa Fe NM Meow Wolf 0509 Phoenix AZ Valley Bar 0510 San Diego CA Casbah 0513 Los Angeles CA Lodge Room
25,Dr. Dre Sends Cease to Desist to Marjorie Taylor Greene Over “Still D.R.E.”,"The controversial Republican congresswoman used the 2001 single in a promotional video. Through his attorney, Dre told Greene, “You are wrongfully exploiting this work through the various social media outlets to promote your divisive and hateful political age…",https://pitchfork.com/news/dr-dre-sends-cease-to-desist-to-marjorie-taylor-greene-over-still-dre/,Dr. Dre has condemned Representative Marjorie Taylor Greenes use of his 2001 song Still D. R. E. in a promotional video TMZ reports. In a statement to the media outlet the rapper and producer said I dont license my music to politicians especially someone as divisive and hateful as this one. Dr. Dres attorney Howard E. King has also sent a letter to Taylor Greene demanding that she cease the unauthorized use of Dres music. You are wrongfully exploiting this work through the various social media outlets to promote your divisive and hateful political agenda King wrote. Demand is hereby made that you cease and desist from any further unauthorized use of Dr. Dres music. Greene the controversial Republican congresswoman from Georgia had used the Still D. R. E. instrumental in a sinceremoved video she posted on Twitter to celebrate Kevin McCarthys election as speaker of the House. When reached by Pitchfork a representative shared the following statement from the congresswoman to Dr. Dre While I appreciate the creative chord progression I would never play your words of violence against women and police officers and your glorification of the thug life and drugs. Musicians have often asked politicians to stop using their music without permission. Neil Young for one went so far as to sue Donald J. Trumps presidential campaign over the use of Rockin in the Free World and Devils Sidewalk at rallies and events. Marjorie Taylor Greene is a Trump supporter who has repeated false claims of election fraud. She has also shown support for the conspiracy theory movement QAnon made Islamophobic and antisemitic remarks and had her Twitter account suspended for months after spreading misinformation about COVID19.
26,Dr. Dre Selling Music Assets to Universal Music Group and Shamrock Capital: Report,The deals include the master recordings for The Chronic and are reportedly worth upwards of $200 million,https://pitchfork.com/news/dr-dre-selling-music-assets-to-universal-music-group-and-shamrock-capital-report/,Dr. Dre is selling several of his music assets and income streams in deals with both Universal Music Group UMG and Shamrock Capital Billboard and Variety report. The combined sale price is said to exceed 200 million. Pitchfork has reached out to representatives for Dr. Dre UMG and Shamrock for comment. Assets acquired by Shamrock Capital reportedly include Dres artist royalties from two of his solo albums his share of N. W. A. artist royalties his producer royalties and the writers share of his song catalog where he doesnt own publishingwhich potentially includes his writers share of The Chronic which is published by Sony Music Publishing. UMG has reportedly acquired the master recordings for Dres 1992 debut LP The Chronicwhich are set to revert to Dre from Death Row Entertainment in August 2023and his share of Kendrick Lamars releases through the Top Dawg Entertainment deal with Interscope a UMG subsidiary and Dres Aftermath imprint. Dre is said to retain his stake in Aftermath which he coowns with Interscope. The sale of Dres assets come in the wake of the recent ceaseanddesist that his lawyers sent Rep. Marjorie Taylor Green who used Dres song Still D. R. E. in a video posted to Twitter. The letter promised Dre will never grant the congresswoman permission to broadcast or disseminate any of his music. It is unclear to what degree Dre will be able to restrict anyone from licensing his music after the sale. The speculative market for music assets continues to grow expanding from classic rock and pop artists like Genesis Bob Dylan Leonard Cohen David Bowie and Bruce Springsteen to include hiphop artists like Chuck D Future and now Dr. Dre. In 2020 the institutionally backed investment firm Shamrockoriginally founded in 1978 by Roy E. Disney as Shamrock Holdingsacquired six Taylor Swift albums from Scooter Brauns Ithaca Holdings which famously purchased the rights from her former label Big Machine. Swift has since rerecorded two of the albums purchased by Shamrock.
