Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
15,"No adventure like a Himalayan adventure: Wrong turns on Kheerganga trek, bears and demonetisation",Extremely Negative,1090,"['cursed', 'dangerous', 'hubris', 'wrong', 'wrong', 'unappealing', 'monstrous', 'lost', 'irresponsible', 'fallen', 'tumbled', 'crashing', 'fell', 'loose', 'Battered', 'bruised', 'dreadful', 'fallen', 'cold', 'tumbles', 'struggle', 'fallen', 'cold', 'dark', 'desperate', 'crisis', 'emergency', 'dark', 'ominously', 'Darkness', 'faint', 'crashing', 'greedy', 'crashing', 'Impatient', 'fatalistic', 'crept', 'fearfully', 'incredulously', 'taut', 'tension', 'lost', 'lies', 'losing', 'unknown', 'unrest', 'hardened', 'banal', 'redundant', 'freeze', 'archaic', 'strenuous', 'fall', 'gasp', 'blinding', 'avalanche', 'rage', 'fury', 'steep', 'cracked', 'unforgiving', 'protests']","['fire', 'hostage', 'nook', 'hell', 'fire']","[Arre, yahan, kahan, gaya, Negi, Negi, 'lawsuit']"
16,Pedestrian killed by motorcyclist in Mumbai's Vile Parle,Extremely Negative,300,"['Vile', 'negligence', 'Vile', 'suffered', 'lost', 'dead']",['killed'],"[Paresh, Shah, Darshan, Jhaveri, Jhavers, Shah, Jhaveris, Shah]"
17,No Headline,Extremely Negative,200,['Vile'],[],"[Ashish, Bipin, Shah, Mitesh, B., Shaho3ap, Prakash, Bhato3ap]"
18,No Headline,Extremely Negative,450,"['difficult', 'warning', 'dangerous', 'dangerous', 'impossible', 'warned', 'difficult', 'dangerous', 'Falls', 'dangerous', 'chill', 'Warning', 'Stark', 'Moody', 'Sully', 'Warning', 'Warning', 'Warning', 'Warning', 'Warning', 'Crook']",[],"[Burleigh, Bowman, Emmons, Dunn, Grant, McKenzie, Morton, Mercer, Sheridan, Oliver, Dickey, Foster, Logan, Wells, Eddy, Nelson, Griggs, Ramsey, Ransom, Steele, Pierce, Ward, Butte, Bennett, Harding, Melette, Todd, Tripp, Perkins, Charles, Mix, Douglas, Davison, Hanson, McCook, Moody, 'harassment', Campbell, Corson, Dewey, Hyde, Potter, Lyman, Jones, Edmunds, McPherson, Faulk, Brown, Roberts, Clark, Codington, Marshall, Hamlin, Grant, Day, Deuel, Douglas, Rice, Scott, Stearns, Todd, Wright, Brown, Renville, Swift, Stevens, Watonwan, Waseca, Goodhue, Carroll, Calhoun, Emmet, Grundy, Ida, OBrien, Jones, Linn, Allamakee, Clayton, Floyd]"
19,"
                                                                        FMCG cos expect fewer price hikes, robust growth in 2023 despite headwinds                                ",Somewhat Positive,220,"['decline', 'pain', 'recession', 'fears', 'subdued', 'weak', 'subdued', 'sluggish', 'inflationary', 'volatility', 'recessionary', 'concerned', 'inflationary', 'threat', 'worries', 'disrupt', 'problem', 'disruption']",[],"[Martin, Wolf, Pushan, Sharma, Venkatesh, Vijayaraghavan, Sameer, Shah, Malhotra, Mayank, Shah, Shah, Vijayaraghavan, Vijayaraghavan, Shah, 'harassment', Vijayaraghavan, Manish, Bandlish, Devendra, Shah, Devendra, Shah, Sameer, Shaha]"
20,"
                                                                        70% investment target received ahead of summit in Uttar Pradesh                                ",Extremely Positive,0,[],[],"[Smriti, Irani, Adityanath, Yogi, Adityanath, Narendra, Modi]"
21,"
                                                                        FMCG companies see some respite in rural demand in last two weeks                                ",Generally Neutral,60,"['Weak', 'drags', 'pain', 'stress', 'slow', 'weak', 'negative']",[],"[Angshu, Mallick, Mayank, Shah, Venkatesh, Vijayaraghavan, Vijayaraghavan, Chandu, Virani]"
22,"Woman tweets train ticket details to confirm seats, loses Rs 64,000 to conmen in Mumbai",Extremely Negative,430,"['complaint', 'Vile', 'fraudulent', 'Vile', 'complaint', 'complaint', 'complaint', 'difficult', 'stole']","['fraud', 'fraud', 'fraud']","[MN, Meena, 37, Meena, Meenas, Meenas, Meena]"
23,"
                                                                        Sebi releases list of nine 'most wanted defaulters'- all untraceable                                ",Extremely Negative,300,"['threats', 'bizarre', 'unspecified', 'Vile', 'Vile', 'concern', 'abruptly', 'liable']",[],"[Karad, Sebi, Trump, Vishwas, Utagi, 'lawsuit', Utagi, Srishti, Ambokar, Quaid, Najmi]"
24,Woman gets 3-month jail for killing biker in Mumbai,Extremely Negative,420,"['Vile', 'culpable', 'refused', 'offence', 'Vile']","['death', 'death', 'homicide']","[Zankruti, Parikh, 'lawsuit', Rashmi, Sawant, C, P, Kashid, Rashmis, Rashmi, Rashmi]"
25,"
                                                                        Rural demand for FMCG products nears positive territory in December                                ",Somewhat Negative,150,"['fall', 'slow', 'weak', 'negative', 'fell', 'crisis']",[],"[Bizom, Akshay, DSouza, Angshu, Mallick, Mayank, Shah, Venkatesh, Vijayaraghavan, Vijayaraghavan, Chandu, Virani, DSouza, DSouza]"
26,Mumbai News Updates: City reports two Covid-19 cases,Extremely Negative,2140,"['toll', 'toll', 'defrauding', 'defrauding', 'complaint', 'issues', 'menace', 'strike', 'strike', 'issues', 'plea', 'lack', 'offence', 'threatening', 'threatening', 'warning', 'toll', 'toll', 'protest', 'controversial', 'strike', 'strike', 'strike', 'scam', 'fraudulent', 'losing', 'lost', 'cheating', 'fake', 'strike', 'bitter', 'strike', 'pleas', 'fell', 'deaf']","['death', 'death', 'Crime', 'Crime', 'drug', 'criminal', 'criminal', 'bomb', 'blow', 'church', 'blow', 'Church', 'blow', 'Church', 'church', 'terrorist', 'fire', 'Death', 'death', 'killed', 'died', 'suicide', 'suicide', 'fraud', 'fraud', 'crimes', 'criminals', 'crimes', 'crimes']","[P, S, Vithalani, 'lawsuit', Prashant, Jadhav, Goabased, 'lawsuit', Goabased, 'lawsuit', Bhagat, Singh, Koshyari, Bhagat, Singh, Koshyari, Prasad, Purohits, Prasad, Purohit, 'lawsuit', Purohit, Neela, Gokhale, Ajit, Pawar, 'lawsuit', Sambhaji, Maharaj, Prasad, Purohit, Purohit, JF, Michael, Michael]"
27,"Gen-Next in the saddle to tread fresh ground, keep family businesses going",Extremely Positive,0,[],[],[]
28,FMCG companies hope for a booster shot from Budget 2023,Extremely Positive,130,"['breaks', 'conflict', 'slower', 'fallen', 'fell', 'hurting', 'concern', 'inflationary', 'violation']",[],"[Krishnarao, Buddha, Sameer, Shah, 'harassment']"
29,FMCG firms do not see any disruption from new COVID wave,Extremely Positive,110,"['worries', 'infections', 'worst', 'rumours', 'infections', 'infections', 'restriction', 'cripple', 'slump', 'drags', 'Issues', 'evasion']",[],"[Mayank, Shah, Angshu, Mallick, Kamal, Nandi, Nandi, Neeraj, Khatri]"
30,FMCG firms do not see any disruption from new COVID wave,Extremely Positive,110,"['worries', 'infections', 'worst', 'rumours', 'infections', 'infections', 'restriction', 'cripple', 'slump', 'drags', 'Issues', 'evasion']",[],"[Mayank, Shah, Angshu, Mallick, Kamal, Nandi, Nandi, Neeraj, Khatri]"
