Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
11,King Charles’s Christmas Day message breaks TV viewing record,Extremely Negative,230,"['crisis', 'needy', 'Strictly', 'Strictly']",[],"[Charless, Charless, Charles, Queen, Elizabeth, II, Charles, Charlotte, Moore, Michael, McIntyres]"
12,No Headline,Extremely Negative,990,"['Hard', 'difficulty', 'threat', 'resistance', 'resistance', 'monotonous', 'languish', 'Cold', 'Cold', 'Cold', 'ridiculous', 'complaint', 'Baffled', 'negative', 'dangerous', 'Dangerous', 'dangerous', 'risk', 'Scandal', 'scandals', 'cold', 'controversy', 'filthy', 'refused', 'scandal', 'scandal', 'odd']","['Vatican', 'Arab', 'Hitler', 'propaganda', 'crime', 'refugee', 'Nazi', 'Propaganda', 'fear', 'angry']","[George, V, Edward, VIIIs, Georges, Soon, Hitler, Mussolini, Nevel, Chamberlain, Pierre, Holmes, 'lawsuit', Winston, Churchill]"
13,"Uranium Found at London Heathrow Airport Poses 'No Threat,' Police Say",Extremely Negative,470,"['threat', 'dangerous', 'harmful', 'threat', 'scrap', 'concerned', 'worried', 'plot', 'denied', 'contaminated', 'threat', 'threat', 'threats']","['terrorist', 'terrorist', 'bomb']","[Hamish, de, BrettonGordon, De, BrettonGordon, Richard, Smith]"
14,Robbie Williams says he sees a lot of himself in Harry Styles ,Somewhat Positive,120,"['inconsequential', 'nonsense', 'lonely', 'awkward', 'nervous', 'breakdown', 'burning', 'rivalry', 'conflict', 'Unfortunately', 'inflammation', 'badly', 'bad']",[],"[Robbie, Williams, Harry, Styles, Scott, Mills, Williams, Mills, Williams, Harry, Styles, Williams, Gary, Barlow, Williams, Williams, Williams, Barlow, Howard, Donald, Mark, Owen, Jason, Orange, Williams, Barlow, Mills, Gary, Barlow, Gary, Williams, Barlow, Jay, Howard, Mark, Gaz, Gary]"
15,No Headline,Extremely Negative,230,"['fails', 'scrambling', 'wrong', 'undermined']",[],[]
16,Venezuelan opposition votes to abolish parallel government,Extremely Negative,310,"['opposition', 'abolish', 'opposition', 'disputed', 'opposition', 'lost', 'abolish', 'crisis', 'opposition', 'crisis', 'frozen', 'deadlock']",[],"[Juan, Guaid, Guaid, Nicols, Maduro, Guaid]"
17,Republican George Santos admits lying on his CV,Extremely Negative,580,"['lying', 'lied', 'sorry', 'controversy', 'deter', 'allegation', 'defamatory', 'attacks', 'poor', 'sorry', 'opponent', 'liar', 'concerns']","['Republican', 'Republican', 'criminal', 'stupid']","[George, Santos, George, Santos, Santos, 'lawsuit', 'lawsuit', Santos, Santos, Santos, Robert, Zimmerman, Santos, Santos, Santos]"
18,Paris shooting: Suspect admits 'pathological' hatred of migrants,Extremely Negative,1470,"['Suspect', 'hatred', 'deadly', 'hatred', 'suspect', 'depressed', 'suicidal', 'hatred', 'conflict', 'suspicion', 'unrest', 'unresolved', 'afraid']","['shooting', 'kill', 'shooting', 'fire', 'killing', 'kill', 'fight', 'killing', 'fire', 'fight', 'murder', 'murder', 'racist', 'assault', 'racist', 'violence', 'violence', 'murder', 'crime']","['harassment', 'harassment', William, M., 'harassment', 'harassment']"
19,Second batch of classified Biden documents found,Extremely Negative,660,"['embarrassment', 'unclear', 'limited', 'refused', 'isolated', 'carelessness', 'scandals', 'bad', 'dripping', 'damaging', 'bad', 'dripping', 'distracting', 'issues', 'controversy', 'oversight', 'Oversight', 'embarrassment', 'drags', 'corrosive', 'breaks']","['criminal', 'Republican', 'abortion', 'Republican']","[Biden, Joe, Bidens, Biden, Donald, Trump, Biden, Barack, Obama, Biden, Karine, JeanPierre, Biden, Biden, Joe, Biden, Biden, 'lawsuit', James, Comer, Biden, Bidens, Bidens, Trump, Trump, 'lawsuit', Biden, Barack, Obama]"
20,Foreigners now banned from buying homes in Canada,Extremely Negative,580,"['unaffordable', 'critical', 'unclear', 'breach', 'discourage', 'struggled', 'unaffordable', 'unaffordable', 'crisis', 'restricted']",['refugee'],"['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Ahmed, Hussen, 'lawsuit', Hussen, 'lawsuit', 'lawsuit']"
21,The mystery buses behind Brazil Congress attack,Extremely Positive,410,"['mystery', 'mystery', 'badly', 'lost', 'sad', 'laid', 'mystery', 'lack', 'harm', 'violate', 'protests', 'infiltrators', 'frustration', 'naive', 'punish', 'unclear', 'anxiously']","['gun', 'conservative', 'violence', 'burn', 'destroy']","[Odair, Jair, Bolsonaro, Odair, Bolsonaro, Bolsonaro, Odair, Alice, Teixeira, Luiz, Incio, Lula, da, Silva, Flavio, Dino, Bolsonaro, Dino, Lula, Bolsonaro, Paulo, Abro, Bolsonaro, Bolsonaristas, Lula, Telma, Viera, Bolsonaro, Bolsonaro, Edson, Varela, Vieras, Bolsonaro, Varela, Viera, Lula, Juscelino, Colares, Bolsonaristas, Abro, Geomar, Andre, Bender]"
22,Reunited: The Ukrainian couple who married near the front line,Somewhat Positive,0,[],[],"[Lesya, Valeriy, Lesya, Valeriy, Valeriy, Hugo, Bachega, Tim, Facey, Rachael, Thorn]"
23,US winter storm: Stranded Native Americans burn clothes for warmth,Extremely Negative,370,"['urgent', 'losing', 'emergency', 'burning', 'trapped', 'desperate', 'stuck', 'failing', 'freezing', 'cold', 'unclear', 'trapped', 'dumping']",['burn'],"[Frank, Star, Comes, Anna, Halverson, Halverson, Frank, Star, Kristi, Noem, Wayne, Boyd]"
24,Iran protests: 'No going back' as unrest hits 100 days,Extremely Negative,2130,"['protests', 'unrest', 'protests', 'sham', 'protests', 'protests', 'exile', 'notorious', 'prison', 'condemned', 'prison', 'opposition', 'unjust', 'threats', 'protests', 'dictator', 'protests', 'critics', 'strike', 'protests', 'protests', 'strict', 'burning', 'protest', 'oppression', 'prison', 'unknown', 'cracked', 'stole', 'elimination', 'shocking', 'protests', 'condemned', 'tortured', 'tortured', 'subjected', 'mock', 'prison', 'guilty', 'enmity', 'insecurity', 'protest', 'denied', 'broken', 'guilty', 'penalty', 'subjected', 'confession']","['killed', 'crime', 'criminals', 'Death', 'death', 'kill', 'bombs', 'corruption', 'suicide', 'died', 'killed', 'killed', 'horn', 'torture', 'died', 'torture', 'death', 'death', 'kill', 'death', 'amateur', 'death', 'weapon', 'corruption', 'crime', 'death', 'torture']","['lawsuit', Taraneh, Alidoosti, Taraneh, Asghar, Farhadi, Alidoosti, Farhadi, Pegah, Ahangarani, Hamid, Farrokhnezhad, Ali, Khamenei, Franco, Stalin, Mussolini, Ali, Karimi, Karimi, Ali, Daei, 'lawsuit', 'harassment', MahsaAmini, Omid, Memarian, OmidM, Arshia, Emamgholizadeh, Arshia, Mehran, Samak, Hamed, Salahshoor, Saman, Yasin, Yasin, Sahand, Noormohammadzadeh, Noormohammadzadeh, Hamid, GhareHasanlou, GhareHasanlou]"
25,England star Beth Mead crowned BBC Sports Personality of the Year 2022,Extremely Positive,490,"['overwhelming', 'injury', 'struggle', 'difficulties', 'problems', 'hating', 'painfully', 'laid', 'struck', 'controversy', 'criticism', 'omission', 'farce', 'joke']","['firing', 'cancer', 'cancer', 'die', 'cancer', 'Disease']","[Beth, Mead, Ben, Stokes, Ronnie, OSullivan, Mead, Mead, Mead, Sarina, Wiegman, Emma, Raducanus, Mary, Peters, Mead, Mead, Alex, Scott, Mead, Mead, Meads, Gary, Lineker, Gabby, Logan, Alex, Scott, Clare, Balding, Jill, Scott, Stokes, Meads, Stokes, Eve, Muirhead, 'lawsuit', Rob, Burrow, Lindsey, Burrow, Kevin, Sinfield, Sinfield, Burrow, He, s, 'lawsuit', Lineker, Matt, Fitzpatrick, Lineker, Fitzpatrick, Ian, Poulter]"
26,Song of a GP: folk musicians tell stories of modern British lives for BBC,Somewhat Positive,40,"['tragically', 'lost', 'overwhelming', 'shocked', 'Lone']",[],"[Andrea, Bell, Bell, Martyn, Joseph, Bells, Thea, Gilmore, Delyth, Raffell, Ellen, Raffell, Gilmore, Katie, Toner, Angeline, Morrison, Toner, Toner, Toner, Morrison, Katie, Angeline, Michael, Dodds, Dodds, Chris, Difford, Dodds, Difford, Kathryn, Williams, Ifti, Lone, Sean, Cooney, Cooney]"
27,Iran protesters 'too scared to go to hospital',Extremely Negative,320,"['scared', 'emergency', 'badly']","['fire', 'died']",[]
28,Afghanistan: Tears and protests as Taliban shut universities to women,Extremely Negative,830,"['protests', 'protest', 'dangerous', 'denied', 'crumble', 'conceded', 'danger', 'poor', 'problem', 'suffer', 'contention', 'wrong', 'warned', 'warned', 'criticism', 'dark', 'anger', 'confined', 'imprisonment', 'break', 'lost', 'struggling', 'suppress', 'erase']","['bombers', 'killing', 'poverty', 'conservative', 'fear']","['lawsuit', 'lawsuit', Hibatullah, Akhundzada, 'lawsuit', Anthony, Blinken, 'lawsuit', Nawida, Khurasani, Nawida, 'lawsuit', Humaira, Qaderi]"
29,The week in TV: Mayflies; Without Sin; Prince Andrew: The Musical; Marie Antoinette,Extremely Positive,1580,"['Sin', 'sadness', 'anger', 'dying', 'forged', 'troubled', 'intense', 'cold', 'wretched', 'rough', 'nag', 'mawkishness', 'heartbreaking', 'toxic', 'Sin', 'grieving', 'prison', 'hating', 'pain', 'evil', 'taunt', 'urgent', 'Sin', 'Stuck', 'prison', 'ambiguity', 'bad', 'plot', 'tangled', 'overloaded', 'hard', 'twist', 'creeping', 'guilty', 'subversive', 'offender', 'lack', 'Sadly', 'fails', 'allegations', 'enemies', 'inexperienced', 'spoiled', 'overwhelmed', 'dragged', 'dread', 'melancholy', 'Sin', 'Hate', 'worst', 'explosive']","['cancer', 'fear', 'die', 'prick', 'die', 'hell', 'death', 'murderer', 'died', 'killed', 'sex', 'sex', 'Randy', 'sexual', 'assault', 'sex', 'torture', 'Nigerian', 'death']","[Marie, Antoinette, Andrea, Gibb, Andrew, OHagan, Tully, Tony, Curran, Jimmy, Martin, Compston, Jimmy, Rian, Gordon, Tully, Tom, GlynnCarney, Johnny, Marr, Tully, Jimmy, Tullys, Anna, Ashley, Jensen, Jimmys, Iona, Tracy, Ifeachor, Curran, Jensen, Tully, Anna, Johnny, Harris, Vicky, McClure, Frances, Poletti, McClure, Stella, Charles, Harris, Maisy, Stella, Maisys, Paul, Perry, Fitzgerald, Stella, Charles, Charles, Stella, Charles, Stella, Prince, Charmless, Ghislaine, Maxwell, Jeffrey, Epstein, Epstein, Kieran, Hodgson, Andrew, Emily, Maitlis, Emma, Sidi, PATM, Andrews, Randy, Andy, Sarah, Ferguson, Epstein, Maxwell, Maxwells, Jeffrey, Harry, Enfield, Tony, Blair, Charles, Munya, Chawawa, Andrew, Andrew, 'harassment', 'harassment', 'lawsuit', Harry, Meghan, Deborah, Davis, Emilia, Schle, Louis, Cunningham, James, Purefoy, Ladybird, Marie, Antoinette, Marie, Antoinette, Marie, Antoinette, Billie, Piper, Piper, Lucy, Prebble, Suzie, Anna, Maxwell, Martin, Diane, Morgan, Abby, Ajayi]"
30,Afghanistan: Taliban ban women from working for NGOs,Extremely Negative,710,"['condemned', 'broken', 'devastating', 'helplessness', 'shocking', 'strict', 'struggle', 'breaking', 'failing', 'outrage', 'concerned', 'disrupt', 'devastating', 'breach', 'urgent', 'unable', 'deteriorate', 'deplorable', 'erase', 'sad', 'devastated', 'difficulty', 'problems', 'confused', 'criticism', 'protests', 'restricted']",['fear'],"['lawsuit', 'lawsuit', 'harassment', Antony, Blinken, Blinken, Melissa, Cornet, 'lawsuit', 'lawsuit', 'lawsuit', Haniya, Ali]"
31,Moscow says Ukrainian rocket strike kills 63 Russian troops,Extremely Negative,1250,"['strike', 'attacks', 'strike', 'strike', 'critical', 'setback', 'unspecified', 'strike', 'anger', 'losses', 'damaged', 'losses', 'strike', 'drones', 'resistance', 'relentless', 'attacks', 'drones', 'drones', 'damaged', 'drones', 'emergency', 'critical', 'object', 'terrorism', 'freezing', 'demoralize', 'resistance', 'drones', 'struggle', 'difficult', 'condemned', 'Drones', 'struck', 'drones', 'drones', 'drones', 'blistering', 'attacks', 'damage', 'alarmed']","['kills', 'killing', 'weapon', 'killed', 'killed', 'killed', 'explosion', 'fire', 'firing', 'assault', 'killed', 'died']","[Felipe, Dana, Dmitry, Azarov, Daniil, Bezsonov, Vitali, Klitschko, Klitschko, Klitschko, Oleksiy, Kuleba, Volodymyr, Zelenskyy, Vladimir, Putin, Putin, Yaroslav, Yanushevich, Yanushevich, Vitali, Kim, Valentyn, Reznichenko, Reznichenko, 'harassment', Klitschko, Alexander, Bogomaz]"
32,"For El Paso migrants, an epic journey is followed by a long wait",Somewhat Positive,470,"['violent', 'dead', 'dangerous', 'complicated', 'swelling', 'scrambling', 'urgent', 'impossible', 'expensive', 'craziness', 'mischief', 'tortured', 'trouble', 'anger', 'rubbish', 'bad', 'interrupt', 'mystery']","['diseases', 'cigarette', 'fear', 'slave', 'dirty', 'adult']","[Wilmary, Camacho, Camacho, Mia, Camacho, Camacho, Elois, Acelvedo, Acelvedo, Elianny, Rodriguez, Rodriguez, Rodrigo, Antonio, Hernandez, Hernandez, Kenia, Contreras, Anthony, Ybarra, Ybarra, Contreras, Alexandra, Ostasiewicz]"
33,The week in audio: Bone Valley; There Are No Greater Heroes; The Crowning of Everest and more – review,Extremely Positive,750,"['Dogged', 'lazy', 'hard', 'falsely', 'raping', 'prison', 'falls', 'cold', 'violently', 'prison', 'fails', 'gruesome', 'naive', 'nervous', 'rage', 'wrong', 'refused', 'funny']","['murder', 'crime', 'Devil', 'murder', 'crime', 'murder', 'die', 'crime', 'criminal', 'died', 'cancer']","[Sam, Tyler, Thomas, Freeman, Gilbert, King, Kelsey, Decker, Scott, Cupp, Leo, Schofield, Michelle, Cupp, King, Decker, King, Decker, Michelle, Michelle, Schofield, 'lawsuit', Leo, Decker, Kings, Schofield, Sam, Tyler, Tony, Caro, John, Tyler, Tony, Caro, John, Edmund, Hillary, Tenzing, Norgay, Wade, Davis, Richard, Hannaford, Norgay, Hillary, Elizabeth, IIs, Hillary, Jason, Hazeley, Peter, Curran]"
34,Flight PS752: Families of victims met with harassment from Iran,Extremely Negative,1250,"['harassment', 'threats', 'lost', 'fearful', 'frightening', 'suspicious', 'dissidents', 'harassed', 'protests', 'hostile', 'threats', 'dissidents', 'attacks', 'dissident', 'harassed', 'complaint', 'lost', 'harassment', 'attacks', 'intimidation', 'threats', 'dead', 'error', 'premeditated', 'tragedy', 'attacks', 'unlawfully', 'fails', 'issue', 'lost']","['died', 'killed', 'propaganda', 'death', 'crimes', 'crimes', 'killing', 'Criminal', 'crime', 'crime', 'fight']","['harassment', Reza, Akbari, Akbari, Akbari, Akbari, Kaveh, Shahrooz, 'lawsuit', Eric, Balsam, 'harassment', Hamed, Esmaeilion, Parisa, Eghbalian, Reera, 'harassment', Esmaeilion, Mahsa, Amini, Shahrooz, Mahsa, Amini, Qasem, Soleimani, Shahrooz, 'lawsuit', Kourosh, Doustshenas, Forough, Khadem]"
35,Journey star tells his bandmate to stop performing for Donald Trump,Extremely Negative,370,"['damaging', 'harmful', 'detriment', 'accuses', 'harm', 'threatening', 'bullying', 'toxic', 'recklessly', 'denied', 'improper', 'acrimony']",[],"[Donald, Trump, Donald, Trump, Neal, Schon, Jonathan, Cain, Cain, Paula, White, Trumps, Cain, Schon, 'lawsuit', Cain, Schon, Steve, Perry, Schon, Paula, WhiteCain, Trumps, Schons, Cain, Cain, Schon, 'lawsuit', Neal, Neal, Cain, Cain, Arnel, Pineda]"
36,19-year sentence for second ringleader in Michigan governor kidnap plot,Extremely Negative,770,"['plot', 'plot', 'prison', 'prison', 'prison', 'stringent', 'culpable', 'guilty', 'destruction', 'thwart', 'bogus', 'treason', 'plot', 'opposition', 'conflict', 'contentious', 'incapable', 'plot', 'improperly', 'plot', 'guilty', 'prison', 'plot', 'guilty', 'terrorism']","['conspiracy', 'conspiracy', 'bomb', 'blow', 'crime', 'conspiracy']","[Gretchen, Whitmer, Barry, Croft, Jr, Adam, Fox, Croft, Whitmer, Croft, Fox, Robert, Jonker, Fox, Croft, Fox, Whitmer, Fox, Fox, Croft, 'lawsuit', Fox, Crofts, Ty, Garbin, Kaleb, Franks, Whitmer, Joseph, Morrison, Pete, Musico, Paul, Bellar]"
37,Prince Harry says Diana would be 'heartbroken' over Royal Family rift,Generally Neutral,590,"['rift', 'conflict', 'divisive', 'sad', 'breaking', 'traumatic', 'sad', 'dispute', 'nemesis', 'altercation', 'evil', 'failing', 'controversy', 'horrific', 'Shame', 'horrific', 'hurtful', 'cruel', 'lack', 'controversy', 'harm', 'complaints', 'dangerous', 'dangerous', 'bias', 'racism', 'rejected', 'racism', 'criticisms']","['death', 'naked', 'excrement', 'devil', 'racist']","[Prince, Harry, Diana, Diana, Prince, William, Prince, Harry, Prince, Harry, Prince, Harry, Michael, Strahan, Prince, Harry, Prince, Harry, Diana, Prince, Harry, William, Camilla, the, Queen, Consort, Prince, Harry, Prince, Harrys, view, Prince, Harry, Meghan, Prince, Harry, 'lawsuit', Jeremy, Clarkson, Clarkson, Meghan, Clarkson, Prince, Harry, Meghan, William, Catherine, Meghan, Kate, Prince, Harry, Clarkson, Susan, Hussey, Ngozi, Fulani, Fulani, Hussey, 'lawsuit', Prince, Harry, Hussey, Fulani, Prince, Harry, Prince, Harry, Anderson, Cooper, Camilla, Cooper, Camilla, Prince, Harry, Camillas, Prince, Harry, Meghans, Oprah, Winfrey, Prince, Harry, Oprah, Prince, Harry]"
38,"Brazil riots: More than 1,200 to be charged for Brazil riot",Extremely Negative,390,"['Concerns', 'protests', 'warned', 'concern', 'stiff', 'liable', 'wary']","['criminal', 'crime']","[Jair, Bolsonaro, proBolsonaro, 'lawsuit', Anderson, Rodrigues]"
39,Donald Trump accused of multi-part conspiracy over 6 January attack,Extremely Negative,920,"['overturn', 'blame', 'insurrection', 'unimaginable', 'false', 'untrue', 'falsely', 'premeditated', 'unfounded', 'stolen', 'conspiracies', 'rhetoric', 'protest', 'guilty', 'breach', 'threatening', 'chaos', 'trapped', 'desperate', 'pleas', 'dismay', 'upset', 'violent', 'chatter', 'refused', 'suspicion', 'conspiratorial', 'prison', 'overturn', 'controversial', 'falsely', 'Hang', 'insurrection', 'enemies', 'insurrection']","['conspiracy', 'conspiracy', 'crimes', 'fraud', 'fraud', 'fraud', 'conspiracy']","[Donald, Trump, Donald, Trump, Trump, Trump, Trump, Bennie, Thompson, Trump, Trumps, Rudy, Giuliani, Joe, Biden, Trump, William, Barr, Trump, Trumps, Trump, Trumps, Trumps, Robert, Morss, Morss, Trump, Trump, Trump, Cassidy, Hutchinson, Hutchinson, Mark, Meadows, Hope, Hicks, Trumps, Hicks, Ivanka, Trumps, Julie, Radford, Trumps, Alex, Jones, Nick, Fuentes, Stewart, Rhodes, Enrique, Tarrio, Rhodes, Tarrio, Trump, Trumps, 'lawsuit', Mike, Pence, Trump, Pence, Pence, Trump, Trump, Pence, Hang, Mike, Pence, Trump, Trump]"
40,Idaho suspect arrives in Idaho to face murder charges - lots of questions remain,Somewhat Positive,570,"['suspect', 'dead', 'criticism', 'prison', 'impair', 'Suspect', 'unknown', 'suspect', 'offence', 'suspect', 'suffered', 'suspect', 'uncomfortable']","['murder', 'killing', 'murder', 'murder', 'weapon', 'knife', 'criminal', 'crime', 'criminal']","[Bryan, Kohberger, Xana, Kernodle, Ethan, Chapin, Kaylee, Goncalves, Madison, Mogen, Kohbergers, Bill, Thompson, Kohbergers, Bryan, Kohberger, Kohberger, Jason, LaBar, Kohbergers, Kohberger, Kohbergers]"
41,Title 42: US Supreme Court keeps Trump-era border policy in place,Somewhat Positive,420,"['controversial', 'expel', 'undocumented', 'concerns', 'crisis', 'worse', 'breaks', 'expire', 'emergency', 'sued', 'strain', 'disruption', 'unlawful', 'problem', 'problem', 'warned', 'emergency', 'concern', 'unable']","['Republican', 'oral', 'blow']","['lawsuit', Biden, 'lawsuit', Bill, Cassidy, Miguel, Colmenares, John, Roberts, Roberts, Elizabeth, Prelogar, 'lawsuit', Susan, Goodell]"
42,As it happened: Zelensky tells Congress Ukraine will never surrender,Extremely Negative,190,[],[],"[Volodymyr, Zelensky, Zelensky, Joe, Biden, Zelensky, Biden, Biden, Zelensky]"
43,Robert Hur: Who is the special counsel in the Biden documents case?,Generally Neutral,330,"['conflicts', 'issues', 'prosecute']","['crimes', 'corruption', 'conservative', 'crimes', 'fear']","[Robert, Hur, Biden, Trump, Joe, Bidens, Robert, K, Hur, Trump, Trump, Merrick, Garland, Biden, Garland, Jack, Smith, Trumps, Hur, Rod, Rosenstein, Christopher, Wray, Wrays, Hur, William, Rehnquist, Ronald, Reagan, Thomas, Dupree, Hur, Robs, Hur, 'lawsuit', 'lawsuit', Garland, Hur]"
