Article,Title,Description,URL,Content,Published,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags,publisher
20,"Southwest is giving 25,000 frequent flier points worth $300 to passengers impacted by the airline's holiday travel meltdown","""I know that no amount of apologies can undo your experience,"" Southwest Airlines CEO Bob Jordan wrote in an email sent to travelers.",https://www.businessinsider.com/southwest-gives-travelers-25000-reward-points-for-holiday-meltdown-2023-1,Southwest is giving 25000 frequent flier points worth 300 to passengers impacted by the airlines holiday travel meltdown A Bank of America analyst estimates Southwests flight debacle will cost the airline up to 700 million CNBC reports. The airline is currently offering affected passengers 25000 frequent flier points valued at over 300. As Southwest Airlines continues to address its costly holiday travel meltdown qualifying passengers are being offered 25000 frequent flier points in addition to refunds reimbursements and vouchers. Passengers whose flights were disrupted between Dec. 24 and Jan. 2 received an email on Tuesday from Southwest CEO Bob Jordan apologizing for the airlines widespread flight cancellations and offering 25000 Rapid Rewards points valued at over 300 the Wall Street Journal reported. On behalf of Southwest I want to let you know were so sorry Jordan wrote in the letter. I know that no amount of apologies can undo your experience. It will cost Southwest more than frequent flier points to correct the mistakes made during December 2022 which left thousands stranded at airports over the holidays thanks to winter storms and the airlines outdated scheduling technology that thwarted staffing. The company could end up paying between 600 million and 700 million Bank of America airline stock analyst Andrew Didora told CNBC. The estimate includes both lost revenue from refunds and reimbursements for expenses like hotels and rental cars CNBC reported. According to Jordans email the points are being offered as a gesture of goodwill and are also available to passengers who requested a refund or travel reimbursement. The Points Guy reporter Zach Griff tweeted on Tuesday that he was among those who received the email noting that the points will come in addition to nearly 500 he already received in compensation in the form of refunds reimbursements and vouchers. Although its unclear exactly how many travelers experienced significant delays or cancellations during the meltdown those hoping to claim points were put on a virtual waitlist on Tuesday due to a high volume of traffic according to Griff. Zach Griff ZachGriff January 3 2023 While Griff reported a 15minute wait to receive points another traveler told WSJ he had an estimated wait time of over an hour to redeem the 75000 points offered to his party of three. In the email Jordan reminded recipients that Rapid Rewards points dont expire have no blackout dates and can be used on Southwest gift cards. Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company The average ChickfilA franchise exceeds 8 million in sales and has one of the lowest fastfood franchise startup fee heres how to open one Chinas government is buying Alibaba and Tencent shares that give the Communist Party special rights over certain business decisions report says Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,2023-01-04T19:56:36Z,Goldman Sachs readies its biggest layoffs since the 2008 financial crisis,Extremely Positive,190,"crisis, suffered, volatile, warning, fall",-,"harassment, harassment, David, Solomon, harassment",entrepreneur
21,Rolls-Royce Records Record Sales in 2022,"Wealthy car buyers still buy $500,000 cars despite an increasingly volatile economy.",https://www.entrepreneur.com/business-news/rolls-royce-records-record-sales-in-2022/442664,RollsRoyce Records Record Sales in 2022 Wealthy car buyers still buy 500000 cars despite an increasingly volatile economy. Crypto winter inflation and a possible recession havent dampened wealthy car buyers enthusiasm for the RollsRoyce. On the contrary the highend automaker clocked record sales in 2022 making it clear plenty of people are still ready to shell out a halfmillion dollars for a name synonymous with luxury. CNBC reports that the BMWowned company delivered 6021 cars last year up 8 over 2021 and the first time the company crossed the 6000 mark. The same article quotes Rolls CEO Torsten MullerOtvos who said his company hasnt seen any slowdown or downturn. We havent seen any negative impact. While CNBCs article notes that RollsRoyce opened an invitationonly private office in Dubai to cater to its VIP customers it reports that the United States was the biggest marketplace for Rolls buyers in 2022. Thirtyfive percent of the companys sales of its 500000plus vehicles came from American buyers with China coming in second for sales at 25. Heres more about the companys banner year The companys SUV the Cullinan was its bestseller in 2022 making up about half of global sales MullerOtvos said. Its Ghost model accounted for over 30 of sales while the Phantom accounted for about 10. Meanwhile the automakers biggest launch of 2022 was the Spectre RollsRoyces first electric vehicle and the beginning of its plan to become fully electric by 2030. According to CNBC 300 US customers had already preordered the 413000 Spectre before RollsRoyce revealed the EV version of the rebooted model. While MullerOtvos indicated orders kept climbing he did not provide actual numbers. The CEO also said that should there be a fullblown recession RollsRoyce is insulated against an economic downturn thanks to a hefty backlog of orders it will fulfill throughout the year. While he wasnt ready to decisively declare another great year to come MullerOtvos sounded a positive note saying he is cautiously optimistic about us delivering another strong year in 2023. Entrepreneur Editors Picks These Are the Hottest Franchises to Watch in 2023 This One Question Will Make You a Better Thinker. Are You Asking It Already How the CEO of Zoom Room Is Leading the Way in Dog Training and Education Before Pressing the Layoff Button Leaders Need to Ask Themselves 1 Question Then Do These 3 Things 3 Simple Strategies for Coping With Overwork Pressure Taco Bell Uses This LittleKnown Secret to Stay on Top Year After Year Once a Skeptic Elon Musk Now Embraces This Divisive Workplace Policy and You Should Too.,2023-01-11T03:43:00Z,"Southwest is giving 25,000 frequent flier points worth $300 to passengers impacted by the airline's holiday travel meltdown",Extremely Negative,410,"meltdown, debacle, costly, meltdown, sorry, mistakes, lost, unclear, delays, meltdown, expire, falls","blackout, Communist","Bob, Jordan, Jordan, Andrew, Didora, Zach, Griff, Griff, Zach, Griff, ZachGriff, Griff, Jordan, Jack, Ma",reuters
22,Tesla nears deal to build production facilities in Indonesia ... - Reuters,"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> is nearing a preliminary deal to build production facilities in Indonesia with a capacity of one million units, Bloomberg News <a href=""https://www.bloomberg.com/news/ar…",https://www.reuters.com/business/autos-transportation/tesla-nears-deal-build-production-facilities-indonesia-bloomberg-news-2023-01-11/,Tesla nears deal to build production facilities in Indonesia Bloomberg News Jan 12 Reuters Tesla Inc TSLA. O is nearing a preliminary deal to build production facilities in Indonesia with a capacity of one million units Bloomberg News reported on Wednesday citing unidentified people familiar with the matter. Chief Executive Elon Musk tweeted on Wednesday Please be cautious about writing articles citing unnamed sources as they are frequently false in a comment on a tweet referencing the report. Indonesias senior cabinet minister Luhut Pandjaitan who has been leading the talks with Tesla said negotiations were still ongoing but declined to say more citing a nondisclosure agreement. The electricvehicle maker did not immediately respond to Reuters requests for comment. Musk last month said Tesla was close to picking the location of its new Gigafactory following media reports that the automaker could announce a new factory in the northern Mexican state of Nuevo Leon as soon as December. In November Musk said South Korea was among its top candidate locations for a factory it plans to build in Asia for making EVs according to South Koreas presidential office. Tesla makes its electric cars in Chinas Shanghai Germanys Berlin and Austin and Fremont in the United States. The latest report said the Indonesia talks include plans for production facilities and to facilitate the companys supply chain. Tesla has signed contracts worth about 5 billion to buy materials for batteries from nickel processing companies in Indonesia Luhut told CNBC Indonesia last year. Indonesian President Joko Widodo urged the electric vehicle maker to manufacture its cars as well as batteries in the country in comments made to Bloomberg News in August. Our Standards The Thomson Reuters Trust Principles.,2023-01-11T13:47:00Z,"
			Rolls-Royce Records Record Sales in 2022
		",Extremely Positive,140,"volatile, recession, downturn, negative, recession, downturn, hefty, Layoff, Skeptic, Divisive",-,"Torsten, MullerOtvos, harassment, Elon, Musk",cnn
23,Sam Bankman-Fried borrowed $546M from his hedge fund to buy a Robinhood stake,"When Sam Bankman-Fried bought a nearly 7.6% stake in Robinhood, the popular stock-trading app, earlier this year, he financed the deal with more than half a billion dollars borrowed from the his own hedge fund — the entity that prosecutors say was illegally f…",https://www.cnn.com/2022/12/28/business/robinhood-sam-bankman-fried-alameda/index.html,When Sam BankmanFried bought a nearly 7. 6 stake in Robinhood the popular stocktrading app earlier this year he financed the deal with more than half a billion dollars borrowed from his own hedge fund the entity that prosecutors say was illegally funneling customer funds from its affiliated platform FTX. In an affidavit that emerged Tuesday BankmanFried said he and FTX cofounder Gary Wang borrowed more than 546 million from the hedge fund Alameda Research which they used to purchase the Robinhood shares via a holding company primarily controlled by BankmanFried. Wang has since pleaded guilty to four counts of fraud and conspiracy in cooperation with US prosecutors investigating FTXs collapse. BankmanFried has been indicted on eight criminal counts. Since stepping down from FTX he has repeatedly denied knowingly committing fraud his arraignment date hasnt been set. He was arrested earlier this month in the Bahamas where FTX was based and extradited to the US last week. He is under house arrest at his parents home in California and scheduled to enter a plea in a federal court in Manhattan on January 3. He could face life in prison if found guilty. BankmanFrieds stake in Robinhood is now at the center of a separate multinational legal battle over the assets associated with FTXs bankrupt crypto empire. Four separate entities have laid claim to the approximately 56 million shares worth about 450 million. FTXs new management which is trying to claw back funds for investors and customers of the bankrupt platform want to wrest control of the shares from the Antiguabased holding company 90 owned by BankmanFried. BankmanFried himself claims ownership of the shares seeking a source of payment for legal expenses according to FTX. Also claiming the Robinhood shares are bankrupt crypto lender BlockFi and an individual FTX creditor. Because the competing claims FTX filed a motion earlier this month to the Delaware bankruptcy court to keep the assets frozen until the court can resolve the issues in a manner that is fair to all creditors of the Debtors. Its not clear from the court filings whether the 546 million used to purchase the stake included funds that prosecutors allege were stolen from customer deposits in FTX. BlockFi a prominent crypto lender halted withdrawals as FTX came unraveled citing significant exposure to the trading platform. It filed for bankruptcy on November 28 just over two weeks after FTX Alameda and dozens of affiliates went under. BlockFi is suing BankmanFried for the Robinhood shares which BlockFi claims it is owed after Alameda defaulted on 680 million in collateralized loan obligations. Earlier this month Robinhood CEO Vlad Tenev told CNBC that hes not surprised the stake is one of the more valuable assets on FTXs books because it is a public companys stock. We dont have a lot of information that you guys dont have. Were just watching this unfold and its going to be locked up in bankruptcy proceedings most likely for some time. Meanwhile the recent implosion of cryptocurrencies has been disastrous for Robinhood. The company laid off 23 of its staff in August after cutting 9 of its employees in April. The online brokerages stock has been in freefall as trading has dried up.,2022-12-28T18:05:55Z,Tesla nears deal to build production facilities in Indonesia -Bloomberg News,Extremely Positive,10,FALSE,-,"Elon, Musk, Luhut, Pandjaitan, Musk, Musk, Luhut, Joko, Widodo",cnn
24,"'Maybe we cried too much' over shoplifting, Walgreens executive says","Throughout the pandemic, major retailers have warned about surging theft and a rise in brazen shoplifting attempts. But a top Walgreens executive now says the freakout may have been overblown.",https://www.cnn.com/2023/01/06/business/walgreens-shoplifting-retail/index.html,Throughout the pandemic major retailers have warned about surging theft and a rise in brazen shoplifting attempts. But a top Walgreens executive now says the freakout may have been overblown. Maybe we cried too much last year about merchandise losses Walgreens finance chief James Kehoe acknowledged Thursday on an earnings call. The companys rate of shrink merchandise losses due to theft fraud damages misscanned items and other errors fell from 3. 5 of total sales last year to around 2. 5 during its latest quarter. Kehoes message is a notable shift from comments about theft from Walgreens and other retailers like Walmart and Target over the last nearly three years. Companies and retail industry groups have tried to draw attention to shoplifting and organized retail crime rings smashing windows and grabbing aisles full of merchandise off shelves urging lawmakers to crack down. Incidents have certainly happened Many political leaders and local and national news outlets including CNN have picked up on viral incidents of smashandgrab robberies. So retailers took action. Some began locking up more products like deodorant and toothpaste adding extra security guards and even shuttering stores. Last January Walgreens WBA said its shrink was up by more 50 from the year prior. The company blamed part of that spike on organized retail crime and closed five locations in the San Francisco area in 2021 claiming theft as the reason for their closure. This is not petty theft Kehoe said last January. These are gangs that actually go in and empty our stores of beauty products. And its a real issue. But a year later Kehoe said Thursday that the company added too much extra security in stores. Probably we put in too much and we might step back a little bit from that he said of security staffing. The company has found private security guards to be largely ineffective in deterring theft so instead its putting in more police and law enforcement officers. The numbers used didnt add up Though Walgreens may have overblown the shoplifting threat over the last few years its true that theft has always been a problem for retailers and that it often spikes during recessions and other periods of economic hardship when people are desperate and may feel the need to turn to petty crime to sustain themselves. Whats more recent factors like shortstaffed stores and selfcheckout can make it easier for thieves to steal. The National Retail Federation estimated that shrink cost retailers 94. 5 billion in 2021 up from 61. 7 billion in 2019 before the pandemic. Shoplifting often does not go reported to the police but companies have said theft has worsened during the Covid crisis. Along with other retailers weve seen a significant increase in theft and organized retail crime across our business Target TGT CEO Brian Cornell said in November. Walmart WMT CEO Doug McMillon said last month on CNBC that theft is an issue and higher than what it has historically been. He warned stores could close if it continued. However its not clear the numbers add up. For example data released by the San Francisco Police Department does not support the explanation Walgreens gave that it was closing five stores because of organized retail theft the San Francisco Chronicle reported in 2021. One of the shuttered stores that closed had only seven reported shoplifting incidents in 2021 and a total of 23 since 2018 according to the newspaper. Overall the five stores that closed had fewer than two recorded shoplifting incidents a month on average since 2018. Similarly a 2021 Los Angeles Times analysis of figures released by industry groups on losses due to organized retail crime found there is reason to doubt the problem is anywhere near as large or widespread as they say.,2023-01-06T17:37:56Z,"
      Sam Bankman-Fried borrowed $546 million from his hedge fund to buy a Robinhood stake
    ",Extremely Negative,740,"hedge, illegally, hedge, guilty, collapse, denied, plea, prison, guilty, bankrupt, laid, bankrupt, bankrupt, frozen, issues, allege, stolen, unraveled, disastrous, laid","fraud, conspiracy, criminal, fraud","Sam, BankmanFried, BankmanFried, Gary, Wang, Wang, lawsuit, lawsuit, lawsuit, lawsuit, Vlad, Tenev, lawsuit",-
25,"Disney employees must return to work in office for at least 4 days a week, CEO says","Disney CEO Bob Iger sent a company-wide email to employees Monday, mandating them to come back to the office to promote creativity and collaboration.",https://www.npr.org/2023/01/11/1148334436/bob-iger-disney-return-to-office,Disney employees must return to work in office for at least 4 days a week CEO says Disney employees must return to the office at least four days a week CEO Bob Iger said in a companywide email this week. As Ive been meeting with teams throughout the company over the past few months Ive been reminded of the tremendous value in being together with the people you work with Iger said according to a memo obtained by CNBC. As youve heard me say many times creativity is the heart and soul of who we are and what we do at Disney. And in a creative business like ours nothing can replace the ability to connect observe and create with peers that comes from being physically together nor the opportunity to grow professionally by learning from leaders and mentors he said. Disney announced in November that Iger would be stepping back into his role as CEO. He was first CEO from 2005 to 2020 and then served as the executive chairman and board chairman before retiring in December 2021. Iger succeeded Bob Chapek who resigned. Igers email is the latest move in the ongoing discussion that employers and workers are having over where is the best place to work. Last June Tesla CEO Elon Musk mandated that employees return to the office for at least 40 hours per week or face being let go.,2023-01-11T09:36:51Z,"
      ‘Maybe we cried too much’ over shoplifting, Walgreens executive says
    ",Extremely Negative,1150,"warned, brazen, overblown, losses, losses, damages, errors, fell, issue, ineffective, overblown, threat, problem, hardship, desperate, steal, crisis, issue, warned, losses, doubt, problem","fraud, crime, crack, crime, crime, crime, crime","lawsuit, James, Kehoe, lawsuit, lawsuit, Kehoes, lawsuit, lawsuit, lawsuit, lawsuit, lawsuit, lawsuit, lawsuit, lawsuit, Brian, Cornell, Doug, McMillon, lawsuit, lawsuit",businessinsider
26,'The Hare Psychopathy Checklist': The test that will tell you if someone is a psychopathy,"Most people display some symptoms of psychopathy — superficiality, glibness, promiscuous sexual behavior, etc. — and that does not make you a psychopath.",https://www.businessinsider.com/hare-psychopath-checklist-test-sociopath-2016-11,Illustration of a silhouette angry man with storm cloud in his head screaming. Malte MuellerGettyImages Senior corporate leaders have been numbered among those who tend to show psychopathic traits. The standard screening test for potential psychopaths is the Hare Psychopathy Checklist. Many of the traits we seek in leaders such as fearlessness dominant behavior and immunity to stress are found in psychopaths. Indeed psychopaths are found in greater proportions among CEOs. Between 3 and 21 of CEOs are probably psychopaths according to a 2016 study by Bond University psychologist Nathan Brooks. In 2021 Fortune found that 12 of corporate senior leaders in the United States showed psychopathic traits. In fact most people display some symptoms of psychopathy superficiality glibness promiscuity etc. and that does not make you a psychopath. According to CNBC while one out of five business leaders may show psychopathic tendencies a certain degree of nonconformity and unconventionally can help drive innovation. The standard screening test for potential psychopaths is the Hare Psychopathy Checklist. In the test a clinician interviews a potential sociopath and scores them on 20 criteria such as promiscuous sexual Behavior or impulsivity. On each criterion the subject is ranked on a 3point scale 0 item does not appl y 1 item applie s somewhat 2 item definitely applies. The scores are summed to create a rank of zero to 40. Anyone who scores 30 and above is probably a psycho. The test is meant to be done by a professional psychologist but if you really want to take it yourself or make a laypersons guess at your bosss psychological makeup keep scrolling,2022-12-31T18:03:36Z,"Disney employees must return to work in office for at least 4 days a week, CEO says",Extremely Negative,200,resigned,-,"Bob, Iger, Iger, Iger, Iger, Bob, Chapek, Igers, Elon, Musk",businessinsider
27,"Southwest Airlines falls 5% after it cancels thousands of flights over the holiday weekend, with more cancellations spilling over into the rest of this week","Southwest had a 62% cancellation rate, compared to the low single digits for other major airlines, according to data from FlightAware.",https://markets.businessinsider.com/news/stocks/southwest-airlines-stock-price-cancelled-flights-status-holiday-weekend-weather-2022-12,Southwest Airlines fell 5 on Tuesday after the company canceled 2900 flights on Monday. Bad weather and crew shortages drove Southwests 62 cancellation rate compared to just 2 for other airlines. The airline said it expects more cancellations to spillover into this week with another 2800 flights canceled on Tuesday. Southwest Airlines stock dropped 5 on Tuesday after the company canceled thousands of flights over the holiday weekend. A combination of bad weather crew shortages and outdated internal technology snowballed into a logistical nightmare for the airline with Southwest cancelling nearly 3000 flight on both Monday and Tuesday. While the bad weather led to flight delays and cancellations for all airline companies before Christmas those issues eased for all other airlines except for Southwest. According to data from FlightAware Southwest had a 62 cancellation rate compared to the low single digits for other major airlines. Southwest said it expects the issues to persist into this week ahead of New Years which is another busy travel weekend. Part of what were suffering is a lack of tools Southwest CEO Bob Jordan said in a message to staff on Sunday according to CNBC. Weve talked an awful lot about modernizing the operation and the need to do that. And Crew Scheduling is one of the places that we need to invest in. We need to be able to produce solutions faster. The Department of Transportation said it would probe Southwests cancellation problems and make sure that the company is complying with its customer service plan which entails the company providing hotel and meal credits if flights are canceled for nonweather related issues. In a tweet the DOT said it was concerned by Southwests unacceptable rate of cancellations and delays reports of lack of prompt customer service.,2022-12-27T14:33:35Z,'The Hare Psychopathy Checklist': The test that will tell you if someone is a psychopathy,Somewhat Positive,170,"stress, symptoms, superficiality","angry, sexual","Malte, MuellerGettyImages, Nathan, Brooks, harassment",businessinsider
28,US oil giants Exxon and Chevron are poised to reap $100 billion total profit bonanza from Russia's war on Ukraine,"Exxon is expected to rake in more than $56 billion in yearly profits while Chevron is projected to reach $37 billion, per the Financial Times.",https://markets.businessinsider.com/news/stocks/exxon-chevron-100-billion-yearly-profit-energy-oil-russia-2023-1,ExxonMobil and Chevron are both set for record profits in 2022 of 56 billion and 37 billion respectively per the FT. The US energy giants are benefiting from the surge in global oil prices after Russia invaded Ukraine it said. Its a reversal of fortunes after the pandemicera price crash and seen as a vindication for resisting climate calls. US oil giants ExxonMobil and Chevron are expected to earn nearly 100 billion in total profits from 2022 thanks to Russias war with Ukraine. Exxon is projected to rake in more than 56 billion while Chevron may reach 37 billion per the Financial Times citing data from SP Capital IQ. For both the companies annual earnings are seen hitting record highs. The profit boon comes after global oil prices soared in response to Russias invasion of Ukraine which squeezed supply in energy markets. While Brent crude was trading around 86 a barrel at last check Tuesday the European benchmark surged toward 140 last March. The jump in earnings signals a sharp reversal of fortunes for energy companies which saw their income plunge as demand collapsed during the COVID19 pandemic. Its also seen as vindication for combatting climate change calls. Such supersized profits however have drawn criticism from US President Joe Biden. He has slammed Exxon for making more money than God while American drivers pay record fuel costs at the pump and urged energy companies to cut down their prices. Meanwhile Bidens advisor Amos Hochstein told CNBC last year that US energy companies need to invest their profits to boost supply over time and prevent prices from surging in the future.,2023-01-03T13:42:48Z,"Southwest Airlines falls 5% after it cancels thousands of flights over the holiday weekend, with more cancellations spilling over into the rest of this week",Extremely Negative,360,"fell, Bad, bad, nightmare, bad, delays, issues, issues, suffering, lack, awful, problems, issues, concerned, unacceptable, delays, lack",-,"Bob, Jordan",businessinsider
29,"FTX used $200 million of customer funds for venture capital investments, SEC complaint shows",The two deals disclose how FTX quietly shifted customer funds from the exchange to Alameda Research to make high-risk trades and lavish purchases.,https://markets.businessinsider.com/news/currencies/ftx-200-million-customer-funds-venture-capital-investments-2022-12,FTX spent 200 million of customer funds on two venture capital investments per the SEC. It invested 100 million each in fintech company Dave and Web 3 firm Mysten Labs. The deals disclose how FTX diverted customer funds from the exchange to Alameda Research. Collapsed crypto exchange FTX used 200 million of customer funds to make two venture capital investments according to a Securities and Exchange Commission complaint. Two separate investments of 100 million each were made via FTX Ventures and were funded with FTX customer funds that had been diverted to Alameda the filing said. The investments were made in fintech company Dave and Web 3 firm Mysten Labs in March and September respectively. Dave and Mysten Labs did not immediately respond to Insiders request for comment. FTX has been under intense scrutiny after its shocking collapse last month. Now a flurry of new details are emerging that shed light on how its exCEO Sam BankmanFried mishandled the company and customer funds. It was reported that up to 2 billion in client funds vanished after BankmanFried quietly transferred billions from FTX to its sister trading company Alameda Research. Prosecutors allege that BankmanFried orchestrated a yearslong fraud by hiding the flow of money between FTX and Alameda. Dave CEO Jason Wilk told CNBC he was unaware of FTXs wrongdoings adding that the exchanges investment is scheduled to be repaid with interest by 2026. In one of the latest developments on FTX Caroline Ellison the former CEO of Alameda pleaded guilty to seven counts including wire fraud and conspiracy to commit securities fraud. She apologised for her role in defrauding customers and investors of FTX saying she knew her actions were wrong.,2022-12-29T12:20:49Z,US oil giants Exxon and Chevron are poised to reap $100 billion total profit bonanza from Russia's war on Ukraine,Extremely Negative,210,"crude, criticism",-,"Joe, Biden, Amos, Hochstein",entrepreneur
30,More Than 55% of People Aren't Honest on Their Resumes — Here Are the 8 Most Popular Lies,Many applicants are determined to make their first impression count — even if it's fake.,https://www.entrepreneur.com/business-news/more-than-half-of-americans-say-they-lie-on-their-resumes/441589,More Than 55 of People Arent Honest on Their Resumes Here Are the 8 Most Popular Lies Many applicants are determined to make their first impression count even if its fake. Many people want an edge during the jobsearch process and some applicants give themselves one on their resume whether its true or not. According to a recent survey from StandOutCV which surveyed 1785 Americans 18 or older who were employed between October 1226 more than 55 of Americans have lied on their resumes at least once CNBC reported. Related This Triangle Method Will Help You Catch and Confront a Liar Whats more the number of Google searches about how to fake a resume is up 48 with those tied to faking a job reference up 52 per the report. Additionally StandOutCV found that men are more likely to lie 59. 9 than women 50. 6. Despite some claims that traditional resumes are becoming obsolete in todays LinkedIndriven world clearly applicants are determined to make them count even if that means folding in one of these eight most common falsehoods 1. Previous work experience 55. 4 2. Skills 43. 1 3. College degree or equivalent 41 4. Personal details such as age location or name 39. 5 5. High school details 39. 2 6. Salary information 33. 6 7. Jobspecific software andor equipment skills 33. 5 21 Entrepreneur Editors Picks These Are the Hottest Franchises to Watch in 2023 This One Question Will Make You a Better Thinker. Are You Asking It Already How the CEO of Zoom Room Is Leading the Way in Dog Training and Education Before Pressing the Layoff Button Leaders Need to Ask Themselves 1 Question Then Do These 3 Things 3 Simple Strategies for Coping With Overwork Pressure Taco Bell Uses This LittleKnown Secret to Stay on Top Year After Year Once a Skeptic Elon Musk Now Embraces This Divisive Workplace Policy and You Should Too.,2022-12-21T16:30:00Z,"FTX used $200 million of customer funds for venture capital investments, SEC complaint shows",Extremely Negative,500,"complaint, intense, shocking, collapse, allege, guilty, defrauding, wrong","fraud, fraud, conspiracy, fraud","Sam, BankmanFried, BankmanFried, lawsuit, Jason, Wilk, Caroline, Ellison",entrepreneur
31,Elon Musk Says 'Local Negativity' in California Will Prevent a Fair Jury Trial. He Wants to Move His Court Date to This State Instead.,Attorneys for the billionaire CEO claim he received extreme backlash following his chaotic Twitter deal.,https://www.entrepreneur.com/business-news/elon-musk-wants-trial-moved-to-texas-citing-local/442516,Elon Musk Says Local Negativity in California Will Prevent a Fair Jury Trial. He Wants to Move His Court Date to This State Instead. Attorneys for the billionaire CEO claim he received extreme backlash following his chaotic Twitter deal. Twitter owner and SpaceX CEO Elon Musk knows that some people arent his biggest fans and hes concerned about what that means for his upcoming jury trial over alleged Tesla stock manipulation. Citing local negativity in California where Tesla headquarters once resided attorneys for the electric car manufacturer and Elon Musk are asking a federal judge in San Francisco to move or delay the impending trial from Northern California to Western Texas CNBC reported. Related Tesla Investors Tweet to Complain About Elon Musk and Twitter Musk and several current and former Tesla board members will go before a jury in a shareholder class action that alleges the billionaire businessman manipulated Teslas stock in 2018 when Musk tweeted he had funding secured to take the company private at 420 per share. Am considering taking Tesla private at 420. Funding secured. Elon Musk elonmusk August 7 2018 Afterward Tesla shares were erratic for weeks following an initial pause on trading. Musk later reached a settlement with the Securities and Exchange Commission which a lawyer for the billionaire subsequently called a governmentimposed muzzle per NBC News. The Tesla CEO moved to Texas in 2020 and relocated the electric vehicle company to Austin in 2021. Related Elon Musks Twitter 2. 0 Long Hours High Intensity for Workers Attorneys representing Musk and Tesla claim that the CEO has received extremely negative publicity in California due to his October 2022 Twitter takeover which resulted in the volatile elimination of thousands of employees. Entrepreneur Editors Picks These Are the Hottest Franchises to Watch in 2023 This One Question Will Make You a Better Thinker. Are You Asking It Already How the CEO of Zoom Room Is Leading the Way in Dog Training and Education Before Pressing the Layoff Button Leaders Need to Ask Themselves 1 Question Then Do These 3 Things 3 Simple Strategies for Coping With Overwork Pressure Taco Bell Uses This LittleKnown Secret to Stay on Top Year After Year Once a Skeptic Elon Musk Now Embraces This Divisive Workplace Policy and You Should Too.,2023-01-09T15:45:00Z,"
			More Than 55% of People Aren't Honest on Their Resumes — Here Are the 8 Most Popular Lies
		",Extremely Negative,350,"Lies, fake, lied, Confront, Liar, fake, lie, obsolete, Layoff, Skeptic, Divisive",-,"nt, harassment, Elon, Musk",businessinsider
